,Unnamed: 0,lotId,units,addressState,addressCity,addressZipcode,baths,beds,price,unformattedPrice,id
0,0,1044499437.0,"$3,100,bds0",NY,New York,10005,,0,,"$3,100",40.70457_rrc2*-rrc_74.00886
1,0,1044499437.0,"$3,921,bds1",NY,New York,10005,,1,,"$3,921",40.70457_rrc2*-rrc_74.00886
2,0,1044499437.0,"$6,395,bds2",NY,New York,10005,,2,,"$6,395",40.70457_rrc2*-rrc_74.00886
3,1,2355011519.0,"$2,250,bds0",NY,Arverne,11692,,0,,"$2,250",40.588963_rrc2*-rrc_73.79774
4,1,2355011519.0,"$2,800,bds1",NY,Arverne,11692,,1,,"$2,800",40.588963_rrc2*-rrc_73.79774
5,2,2560384211.0,"$3,664,bds0",NY,Long Island City,11101,,0,,"$3,664",40.750156_rrc2*-rrc_73.936195
6,2,2560384211.0,"$4,000,bds1",NY,Long Island City,11101,,1,,"$4,000",40.750156_rrc2*-rrc_73.936195
7,2,2560384211.0,"$5,630,bds2",NY,Long Island City,11101,,2,,"$5,630",40.750156_rrc2*-rrc_73.936195
8,2,2560384211.0,"$7,108,bds3",NY,Long Island City,11101,,3,,"$7,108",40.750156_rrc2*-rrc_73.936195
9,3,2009531814.0,"$5,075,bds1",NY,Brooklyn,11201,,1,,"$5,075",40.691814_rrc2*-rrc_73.982994
10,3,2009531814.0,"$7,495,bds2",NY,Brooklyn,11201,,2,,"$7,495",40.691814_rrc2*-rrc_73.982994
11,3,2009531814.0,"$10,495,bds3",NY,Brooklyn,11201,,3,,"$10,495",40.691814_rrc2*-rrc_73.982994
12,4,1000000545.0,"$3,411,bds0",NY,New York,10005,,0,,"$3,411",40.704678_rrc2*-rrc_74.007576
13,4,1000000545.0,"$4,225,bds1",NY,New York,10005,,1,,"$4,225",40.704678_rrc2*-rrc_74.007576
14,5,2179699065.0,"$3,112,bds0",NY,Long Island City,11101,,0,,"$3,112",40.74847_rrc2*-rrc_73.93796
15,5,2179699065.0,"$3,346,bds1",NY,Long Island City,11101,,1,,"$3,346",40.74847_rrc2*-rrc_73.93796
16,6,1150265242.0,"$3,376,bds0",NY,Brooklyn,11217,,0,,"$3,376",40.68774_rrc2*-rrc_73.978584
17,6,1150265242.0,"$3,768,bds1",NY,Brooklyn,11217,,1,,"$3,768",40.68774_rrc2*-rrc_73.978584
18,7,1151147195.0,"$2,230,bds0",NY,Staten Island,10304,,0,,"$2,230",40.6294_rrc2*-rrc_74.07401
19,7,1151147195.0,"$2,380,bds1",NY,Staten Island,10304,,1,,"$2,380",40.6294_rrc2*-rrc_74.07401
20,7,1151147195.0,"$3,450,bds2",NY,Staten Island,10304,,2,,"$3,450",40.6294_rrc2*-rrc_74.07401
21,8,2577962296.0,"$2,260,bds0",NY,Jamaica,11433,,0,,"$2,260",40.703262_rrc2*-rrc_73.798485
22,8,2577962296.0,"$2,620,bds1",NY,Jamaica,11433,,1,,"$2,620",40.703262_rrc2*-rrc_73.798485
23,8,2577962296.0,"$3,710,bds2",NY,Jamaica,11433,,2,,"$3,710",40.703262_rrc2*-rrc_73.798485
24,9,1001683821.0,"$3,750,bds0",NY,New York,10036,,0,,"$3,750",40.76221_rrc2*-rrc_73.99658
25,9,1001683821.0,"$4,200,bds1",NY,New York,10036,,1,,"$4,200",40.76221_rrc2*-rrc_73.99658
26,9,1001683821.0,"$6,170,bds2",NY,New York,10036,,2,,"$6,170",40.76221_rrc2*-rrc_73.99658
27,9,1001683821.0,"$8,237,bds3",NY,New York,10036,,3,,"$8,237",40.76221_rrc2*-rrc_73.99658
28,10,1001493439.0,"$3,325,bds0",NY,New York,10280,,0,,"$3,325",40.711334_rrc2*-rrc_74.0168
29,10,1001493439.0,"$4,055,bds1",NY,New York,10280,,1,,"$4,055",40.711334_rrc2*-rrc_74.0168
30,10,1001493439.0,"$5,725,bds2",NY,New York,10280,,2,,"$5,725",40.711334_rrc2*-rrc_74.0168
31,11,533483.0,"$3,670,bds0",NY,New York,10016,,0,,"$3,670",40.745895_rrc2*-rrc_73.97929
