zpid,id,providerListingId,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latLong,isZillowOwned,variableData,badgeInfo,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,availabilityDate,list,relaxed,buildingName,canSaveBuilding,isBuilding,lotId,units,streetViewMetadataURL,streetViewURL
2059555248,2059555248,fzjjvb8hm4bm,https://photos.zillowstatic.com/fp/6398b83b677b01f533537fe168b3f3a1-p_e.jpg,True,https://www.zillow.com/b/seaport-homes-san-pedro-ca-5XjLY8/,FOR_RENT,Apartment for rent,$,"$2,950+/mo",2950.0,"Seaport Homes, 28000 S Western Ave, San Pedro, CA 90732",28000 S Western Ave #0CADF4E0D,San Pedro,CA,90732,False,2.0,2.0,977.0,"{'latitude': 33.765606, 'longitude': -118.30938}",False,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,"{'homeInfo': {'zpid': 2059555248, 'streetAddress': '28000 S Western Ave #0CADF4E0D', 'zipcode': '90732', 'city': 'San Pedro', 'state': 'CA', 'latitude': 33.765606, 'longitude': -118.30938, 'price': 2950.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 977.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2950.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 0cadf4e0d'}}",False,False,False,ForRent,For Rent,,False,False,False,False,False,True,,True,False,,,,,,,
34.23615_rrc2*-rrc_118.53408,34.23615_rrc2*-rrc_118.53408,3rpykkq439gtm,https://photos.zillowstatic.com/fp/1c3a5e35f32590b56deaa8e0d0775e2d-p_e.jpg,True,/b/aspire-northridge-northridge-ca-BPWR6S/,FOR_RENT,Aspire Northridge,,,,"9131 Darby Ave, Northridge, CA",9131 Darby Ave  # 331,Northridge,CA,91325,,,,,"{'latitude': 34.23615, 'longitude': -118.53408}",,"{'type': '3D_HOME', 'text': '3D Tour'}",,,False,,,,,,,True,,,,True,,True,False,Aspire Northridge,True,True,2372325075.0,"[{'price': '$2,495+', 'beds': '1'}, {'price': '$3,295+', 'beds': '2'}]",,
34.021706_rrc2*-rrc_118.39802,34.021706_rrc2*-rrc_118.39802,2tg3bs2k2068m,https://photos.zillowstatic.com/fp/4b6be976efc19d5f1e4cdba3ce69a454-p_e.jpg,True,/b/harlow-culver-city-ca-5hJ5Bj/,FOR_RENT,Harlow,,,,"9901 Washington Blvd, Culver City, CA",9901 Washington Blvd Apt 506,Culver City,CA,90232,,,,,"{'latitude': 34.021706, 'longitude': -118.39802}",,"{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,,False,,,,,,,False,,,,True,,True,False,Harlow,True,True,1045083697.0,"[{'price': '$3,399+', 'beds': '1'}, {'price': '$4,399+', 'beds': '2'}, {'price': '$5,399+', 'beds': '3'}]",,
34.10238_rrc2*-rrc_118.3385,34.10238_rrc2*-rrc_118.3385,2ug519dm8tv2a,https://photos.zillowstatic.com/fp/5f315ac43078061d79d7ecb259fd2807-p_e.jpg,True,/b/1724-highland-los-angeles-ca-5Z7Qg3/,FOR_RENT,1724 Highland,,,,"1724 N Highland Ave, Los Angeles, CA",1724 N  Highland Ave  # 103245957,Los Angeles,CA,90028,,,,,"{'latitude': 34.10238, 'longitude': -118.3385}",,"{'type': '3D_HOME', 'text': '3D Tour'}",,,False,,,,,,,True,,,,True,,True,False,1724 Highland,True,True,1009478058.0,"[{'price': '$3,028+', 'beds': '0'}, {'price': '$2,633+', 'beds': '1'}, {'price': '$3,325+', 'beds': '2'}]",,
2070006839,2070006839,4sbs13y2q9jvj,https://photos.zillowstatic.com/fp/c72931fb6d8e468fc0af02afe10b47e0-p_e.jpg,True,"https://www.zillow.com/b/La-Vida-Melrose-Los-Angeles-CA/34.08341,-118.306564_ll/",FOR_RENT,Apartment for rent,$,"$2,348/mo",2348.0,"La Vida Melrose, 4864 Melrose Ave #308, Los Angeles, CA 90004",4864 Melrose Ave #308,Los Angeles,CA,90004,False,1.0,1.0,660.0,"{'latitude': 34.08341, 'longitude': -118.306564}",False,"{'type': 'TIME_ON_INFO', 'text': '66 days ago', 'data': {'isFresh': False}}",,"{'homeInfo': {'zpid': 2070006839, 'streetAddress': '4864 Melrose Ave #308', 'zipcode': '90004', 'city': 'Los Angeles', 'state': 'CA', 'latitude': 34.08341, 'longitude': -118.306564, 'price': 2348.0, 'datePriceChanged': 1673856000000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 660.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2136, 'listing_sub_type': {}, 'priceReduction': '$92 (Jan 16)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2348.0, 'priceChange': -92, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 308'}}",False,False,False,ForRent,For Rent,,False,False,False,False,False,True,,True,False,,,,,,,
34.053665_rrc2*-rrc_118.25147,34.053665_rrc2*-rrc_118.25147,13c310j4fe1py,https://photos.zillowstatic.com/fp/7b34329ec956edc4b6ea5fa5abbb6bf4-p_e.jpg,True,/b/255-grand-los-angeles-ca-5XkKCY/,FOR_RENT,255 Grand,,,,"255 S Grand Ave, Los Angeles, CA",255 S  Grand Ave  # 2709,Los Angeles,CA,90012,,,,,"{'latitude': 34.053665, 'longitude': -118.25147}",,"{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,,False,,,,,,,False,,,,True,,True,False,255 Grand,True,True,1001582420.0,"[{'price': '$2,252+', 'beds': '0'}, {'price': '$2,528+', 'beds': '1'}, {'price': '$3,150+', 'beds': '2'}]",,
34.184963_rrc2*-rrc_118.6066,34.184963_rrc2*-rrc_118.6066,4ptzwnhxk8q1p,https://photos.zillowstatic.com/fp/d271629ae5e034ada4a1900ec00d5826-p_e.jpg,True,/b/the-q-topanga-woodland-hills-ca-9MZHvf/,FOR_RENT,The Q Topanga,,,,"6263 Topanga Canyon Blvd, Woodland Hills, CA",6263 Topanga Canyon Blvd # 528,Woodland Hills,CA,91367,,,,,"{'latitude': 34.184963, 'longitude': -118.6066}",,"{'type': '3D_HOME', 'text': '3D Tour'}",,,False,,,,,,,True,,,,True,,True,False,The Q Topanga,True,True,2078655933.0,"[{'price': '$2,844+', 'beds': '0'}, {'price': '$2,755+', 'beds': '1'}, {'price': '$4,175+', 'beds': '2'}]",,
34.096554_rrc2*-rrc_118.339035,34.096554_rrc2*-rrc_118.339035,13ttjfn6xu51z,https://photos.zillowstatic.com/fp/560523f34884827142bb7339f4d893bc-p_e.jpg,True,/b/the-highland-hollywood-ca-5k3t4X/,FOR_RENT,The Highland,,,,"1411 N Highland Ave, Hollywood, CA",1411 N  Highland Ave  Apt 623,Hollywood,CA,90028,,,,,"{'latitude': 34.096554, 'longitude': -118.339035}",,"{'type': 'TIME_ON_INFO', 'text': None}",,,False,,,,,,,False,,,,True,,True,False,The Highland,True,True,1055179599.0,"[{'price': '$3,662+', 'beds': '0'}, {'price': '$3,374+', 'beds': '1'}, {'price': '$4,052+', 'beds': '2'}, {'price': '$6,250+', 'beds': '3'}]",,
34.10332_rrc2*-rrc_118.33448,34.10332_rrc2*-rrc_118.33448,311xbzggn432u,https://photos.zillowstatic.com/fp/69a19d6732ab5a4ee2ca9265ad069b68-p_e.jpg,True,/b/hollywood-los-angeles-ca-64y6HD/,FOR_RENT,Hollywood,,,,"6633 Yucca St, Los Angeles, CA",6633 Yucca St   Apt 214,Los Angeles,CA,90028,,,,,"{'latitude': 34.10332, 'longitude': -118.33448}",,"{'type': 'TIME_ON_INFO', 'text': None}",,,False,,,,,,,False,,,,True,,True,False,Hollywood,True,True,1146970352.0,"[{'price': '$1,895+', 'beds': '1'}]",,
34.06369_rrc2*-rrc_118.35446,34.06369_rrc2*-rrc_118.35446,4gayyac62tp6z,https://photos.zillowstatic.com/fp/c3c7ecc9423568d35ebbb7d97b938752-p_e.jpg,True,/b/one-museum-square-los-angeles-ca-BPTjJM/,FOR_RENT,One Museum Square,,,,"640 S Curson Ave, Los Angeles, CA",640 S  Curson Ave  # 1006,Los Angeles,CA,90036,,,,,"{'latitude': 34.06369, 'longitude': -118.35446}",,"{'type': '3D_HOME', 'text': '3D Tour'}",,,False,,,,,,,True,,,,True,,True,False,One Museum Square,True,True,2372123876.0,"[{'price': '$4,595+', 'beds': '1'}, {'price': '$6,958+', 'beds': '2'}]",,
