zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate,streetViewMetadataURL,streetViewURL
34.06369_rrc2*-rrc_118.35446,34.06369_rrc2*-rrc_118.35446,2372123876.0,https://photos.zillowstatic.com/fp/c3c7ecc9423568d35ebbb7d97b938752-p_e.jpg,True,FOR_RENT,One Museum Square,/b/one-museum-square-los-angeles-ca-BPTjJM/,"{'latitude': 34.06369, 'longitude': -118.35446}","[{'price': '$4,640+', 'beds': '1'}, {'price': '$6,958+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,One Museum Square,True,"640 S Curson Ave, Los Angeles, CA",640 S  Curson Ave  # 1006,CA,Los Angeles,90036,4gayyac62tp6z,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
34.098904_rrc2*-rrc_118.33354,34.098904_rrc2*-rrc_118.33354,2618537985.0,https://photos.zillowstatic.com/fp/d72ff7ec7061e700eae4822d9257d49b-p_e.jpg,True,FOR_RENT,Sentral at Inspire Hollywood,/b/sentral-at-inspire-hollywood-los-angeles-ca-CHFD5j/,"{'latitude': 34.098904, 'longitude': -118.33354}","[{'price': '$2,711+', 'beds': '0'}, {'price': '$3,156+', 'beds': '1'}, {'price': '$3,178+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Sentral at Inspire Hollywood,True,"1530 Cassil Pl, Los Angeles, CA",1530 Cassil Pl   # 314,CA,Los Angeles,90028,dc05an4nkseg,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
2060264076,2060264076,,https://photos.zillowstatic.com/fp/b45e94fdf757c014e1301768f14d28c4-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/fairfax-apartments-los-angeles-ca-C4tMZg/,"{'latitude': 34.084026, 'longitude': -118.36163}",,"{'type': 'TIME_ON_INFO', 'text': '1 day ago', 'data': {'isFresh': False}}",,,,"Fairfax Apartments, 701 N Fairfax Ave, Los Angeles, CA 90046",701 N Fairfax Ave #CED3E9E19,CA,Los Angeles,90046,ynqx2nsss3n5,,False,True,False,True,False,500.0,,1.0,0.0,$,False,False,"{'homeInfo': {'zpid': 2060264076, 'streetAddress': '701 N Fairfax Ave #CED3E9E19', 'zipcode': '90046', 'city': 'Los Angeles', 'state': 'CA', 'latitude': 34.084026, 'longitude': -118.36163, 'price': 2495.0, 'bathrooms': 1.0, 'bedrooms': 0.0, 'livingArea': 500.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2495.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# ced3e9e19'}}",False,False,False,False,False,ForRent,"$2,495+/mo",For Rent,False,2495.0,,,
2060368853,2060368853,,https://photos.zillowstatic.com/fp/2895ed528d610dada0f88ceb4a14dc5a-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/rose-north-los-angeles-ca-5XjZVs/,"{'latitude': 34.025467, 'longitude': -118.416565}",,"{'type': 'TIME_ON_INFO', 'text': '1 day ago', 'data': {'isFresh': False}}",,,,"Rose North, 10825 Rose Ave APT 208, Los Angeles, CA 90034",10825 Rose Ave APT 208,CA,Los Angeles,90034,24kbzf280nece,,False,True,False,True,False,924.0,,2.0,2.0,$,False,False,"{'homeInfo': {'zpid': 2060368853, 'streetAddress': '10825 Rose Ave APT 208', 'zipcode': '90034', 'city': 'Los Angeles', 'state': 'CA', 'latitude': 34.025467, 'longitude': -118.416565, 'price': 3375.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 924.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3375.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 208'}}",False,False,False,False,False,ForRent,"$3,375/mo",For Rent,False,3375.0,,,
2086984932,2086984932,,https://photos.zillowstatic.com/fp/18aecb5c30ff2b06cef1e9d947d01cd9-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/lanewood-pines-hollywood-ca-5XjN2H/,"{'latitude': 34.09933, 'longitude': -118.34229}",,"{'type': 'TIME_ON_INFO', 'text': '36 days ago', 'data': {'isFresh': False}}",,,,"Lanewood Pines, 7027 Lanewood Ave APT 510, Hollywood, CA 90028",7027 Lanewood Ave APT 510,CA,Hollywood,90028,3rgyds2dtykfy,,False,True,False,True,False,927.0,,2.0,2.0,$,False,False,"{'homeInfo': {'zpid': 2086984932, 'streetAddress': '7027 Lanewood Ave APT 510', 'zipcode': '90028', 'city': 'Hollywood', 'state': 'CA', 'latitude': 34.09933, 'longitude': -118.34229, 'price': 4156.0, 'datePriceChanged': 1675843200000, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 927.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 3341, 'listing_sub_type': {}, 'priceReduction': '$110 (Feb 8)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 4156.0, 'priceChange': -110, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 510'}}",False,False,False,False,False,ForRent,"$4,156/mo",For Rent,False,4156.0,,,
34.096554_rrc2*-rrc_118.339035,34.096554_rrc2*-rrc_118.339035,1055179599.0,https://photos.zillowstatic.com/fp/ba45f3334592f6a52e1981e8ad718e8a-p_e.jpg,True,FOR_RENT,The Highland,/b/the-highland-hollywood-ca-5k3t4X/,"{'latitude': 34.096554, 'longitude': -118.339035}","[{'price': '$3,202+', 'beds': '0'}, {'price': '$3,224+', 'beds': '1'}, {'price': '$3,947+', 'beds': '2'}, {'price': '$6,145+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,The Highland,True,"1411 N Highland Ave, Hollywood, CA",1411 N  Highland Ave  Apt 225,CA,Hollywood,90028,13ttjfn6xu51z,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
2059411357,2059411357,,https://photos.zillowstatic.com/fp/b360edcf5c06d7147030f1c3b529c274-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/6731-leland-los-angeles-ca-5Xk39Q/,"{'latitude': 34.096848, 'longitude': -118.33769}",,"{'type': 'TIME_ON_INFO', 'text': '12 hours ago', 'data': {'isFresh': True}}",,,,"6731 Leland, 6731 Leland Way APT 108, Los Angeles, CA 90028",6731 Leland Way APT 108,CA,Los Angeles,90028,1afkrt138vmj6,,False,True,False,True,False,450.0,,1.0,0.0,$,False,False,"{'homeInfo': {'zpid': 2059411357, 'streetAddress': '6731 Leland Way APT 108', 'zipcode': '90028', 'city': 'Los Angeles', 'state': 'CA', 'latitude': 34.096848, 'longitude': -118.33769, 'price': 1450.0, 'bathrooms': 1.0, 'bedrooms': 0.0, 'livingArea': 450.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1450.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 108'}}",False,False,False,False,False,ForRent,"$1,450/mo",For Rent,False,1450.0,,,
2077727173,2077727173,,https://photos.zillowstatic.com/fp/66e2010f431ee3e7212967643a26dce2-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/inspire-colton-apartments-los-angeles-ca-5YTZnY/,"{'latitude': 34.064007, 'longitude': -118.25837}",,"{'type': 'TIME_ON_INFO', 'text': '8 days ago', 'data': {'isFresh': False}}",,,,"Inspire Colton Apartments, 1363 Colton St #803, Los Angeles, CA 90026",1363 Colton St #803,CA,Los Angeles,90026,44znfe7b5qybp,,False,True,False,True,False,684.0,2023-01-31 00:00:00,1.0,1.0,$,False,False,"{'homeInfo': {'zpid': 2077727173, 'streetAddress': '1363 Colton St #803', 'zipcode': '90026', 'city': 'Los Angeles', 'state': 'CA', 'latitude': 34.064007, 'longitude': -118.25837, 'price': 2949.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 684.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2478, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2949.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 803'}}",False,False,False,False,False,ForRent,"$2,949/mo",For Rent,False,2949.0,,,
2077424150,2077424150,,https://photos.zillowstatic.com/fp/c6470d28e7f7f0f5c2b39e929ff48774-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/park-terrace-reseda-ca-5XkKb7/,"{'latitude': 34.18744, 'longitude': -118.536644}",,"{'type': 'TIME_ON_INFO', 'text': '48 days ago', 'data': {'isFresh': False}}",,,,"Park Terrace, 6425 Reseda Blvd APT 236, Reseda, CA 91335",6425 Reseda Blvd APT 236,CA,Reseda,91335,4mcn8kknk73yq,,False,True,False,True,False,875.0,,1.0,2.0,$,False,False,"{'homeInfo': {'zpid': 2077424150, 'streetAddress': '6425 Reseda Blvd APT 236', 'zipcode': '91335', 'city': 'Reseda', 'state': 'CA', 'latitude': 34.18744, 'longitude': -118.536644, 'price': 2950.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 875.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2353, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2950.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 236'}}",False,False,False,False,False,ForRent,"$2,950/mo",For Rent,False,2950.0,,,
34.059753_rrc2*-rrc_118.467384,34.059753_rrc2*-rrc_118.467384,1012242105.0,https://photos.zillowstatic.com/fp/ad606dacb99c1c7c3c6ba8d142f2e4bd-p_e.jpg,True,FOR_RENT,Respara,/b/respara-los-angeles-ca-5ZZvt9/,"{'latitude': 34.059753, 'longitude': -118.467384}","[{'price': '$7,100+', 'beds': '1'}, {'price': '$8,100+', 'beds': '2'}, {'price': '$21,900+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Respara,True,"11600 Dunstan Way, Los Angeles, CA",11600 Dunstan Way  # C1,CA,Los Angeles,90049,4exege22s0knn,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
