zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,carouselPhotos,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate,streetViewMetadataURL,streetViewURL
37.775826_rrc2*-rrc_122.41725,37.775826_rrc2*-rrc_122.41725,1002342973.0,https://photos.zillowstatic.com/fp/f2a10a8a867827262bf5ca4013d57ca8-p_e.jpg,True,FOR_RENT,NEMA,/b/nema-san-francisco-ca-5Xsmy4/,"{'latitude': 37.775826, 'longitude': -122.41725}","[{'price': '$2,850+', 'beds': '0'}, {'price': '$3,750+', 'beds': '1'}, {'price': '$5,200+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,NEMA,True,"8 10th St, San Francisco, CA",8 10th St   # 2379b3822,CA,San Francisco,94103,2adcd9h7wnvqw,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
37.790813_rrc2*-rrc_122.41031,37.790813_rrc2*-rrc_122.41031,1001466428.0,https://photos.zillowstatic.com/fp/0ddfb8ad093c7f6c55159585407d69a0-p_e.jpg,True,FOR_RENT,Pinnacle at Nob Hill,/b/pinnacle-at-nob-hill-san-francisco-ca-5XjKtN/,"{'latitude': 37.790813, 'longitude': -122.41031}","[{'price': '$3,109+', 'beds': '0'}, {'price': '$3,218+', 'beds': '1'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Pinnacle at Nob Hill,True,"899 Pine St, San Francisco, CA",899 Pine St   # a5ba97745,CA,San Francisco,94108,1f4uve2umbyzz,False,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
37.80313_rrc2*-rrc_122.42012,37.80313_rrc2*-rrc_122.42012,1001445682.0,https://photos.zillowstatic.com/fp/5b39971c5ec0dcc1364aa5f1e3b277bb-p_e.jpg,True,FOR_RENT,1000 Chestnut Street Apartments,/b/1000-chestnut-street-apartments-san-francisco-ca-5Xj9Fz/,"{'latitude': 37.80313, 'longitude': -122.42012}","[{'price': '$3,699+', 'beds': '1'}, {'price': '$6,299+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,1000 Chestnut Street Apartments,True,"1000 Chestnut St, San Francisco, CA",1000 Chestnut St   Apt 6A,CA,San Francisco,94109,q820pcf1rm22,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
37.78393_rrc2*-rrc_122.42392,37.78393_rrc2*-rrc_122.42392,1001475385.0,https://photos.zillowstatic.com/fp/6c6cb151ed749a98ed9615e8a06a2a9d-p_e.jpg,True,FOR_RENT,Carillon Tower,/b/carillon-tower-san-francisco-ca-5XjPcB/,"{'latitude': 37.78393, 'longitude': -122.42392}","[{'price': '$3,375+', 'beds': '2'}, {'price': '$4,500+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Carillon Tower,True,"1100 Gough St, San Francisco, CA",1100 Gough St   Apt 14E,CA,San Francisco,94109,2ujqtu4knvdkn,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
37.781723_rrc2*-rrc_122.41131,37.781723_rrc2*-rrc_122.41131,2082834949.0,https://photos.zillowstatic.com/fp/2d8fbd35f152ca9b15625b2c58aa273d-p_e.jpg,True,FOR_RENT,Prism,/b/prism-san-francisco-ca-9NJpRh/,"{'latitude': 37.781723, 'longitude': -122.41131}","[{'price': '$2,746+', 'beds': '0'}, {'price': '$3,275+', 'beds': '1'}, {'price': '$3,718+', 'beds': '2'}, {'price': '$5,917+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Prism,True,"1028 Market St, San Francisco, CA",1028 Market St   Penthouse 10,CA,San Francisco,94102,4p6tj1qfkax9s,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
37.772915_rrc2*-rrc_122.419395,37.772915_rrc2*-rrc_122.419395,2082848003.0,https://photos.zillowstatic.com/fp/0b066cf4ed3cd2f22522120cbe817dff-p_e.jpg,True,FOR_RENT,Chorus,/b/chorus-san-francisco-ca-9NJvt7/,"{'latitude': 37.772915, 'longitude': -122.419395}","[{'price': '$2,995+', 'beds': '0'}, {'price': '$3,363+', 'beds': '1'}, {'price': '$4,126+', 'beds': '2'}, {'price': '$7,318+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Chorus,True,"30 Otis St, San Francisco, CA",30 Otis St   # 1105,CA,San Francisco,94103,z4btn7y1kd2z,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
37.78241_rrc2*-rrc_122.41487,37.78241_rrc2*-rrc_122.41487,2082837914.0,https://photos.zillowstatic.com/fp/8e00e755b4c1c15dae0c21972e82e1fe-p_e.jpg,True,FOR_RENT,TL Residences | BRAND-NEW LUXURY STUDIOS,/b/tl-residences-brand-new-luxury-studios-san-francisco-ca-9NJqgD/,"{'latitude': 37.78241, 'longitude': -122.41487}","[{'price': '$1,795+', 'beds': '0'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,TL Residences | BRAND-NEW LUXURY STUDIOS,True,"361 Turk St, San Francisco, CA",361 Turk St   # T513,CA,San Francisco,94102,3wnnvx18047hg,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
37.778404_rrc2*-rrc_122.41432,37.778404_rrc2*-rrc_122.41432,2082848412.0,https://photos.zillowstatic.com/fp/1f453ecf446170d5708b3c6ee83f854d-p_e.jpg,True,FOR_RENT,33 8th at Trinity Place,/b/33-8th-at-trinity-place-san-francisco-ca-9NJw4S/,"{'latitude': 37.778404, 'longitude': -122.41432}","[{'price': '$2,549+', 'beds': '1'}, {'price': '$3,199+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,33 8th at Trinity Place,True,"33 8th St, San Francisco, CA",33 8th St   # 413,CA,San Francisco,94103,4fgbxxwr0e8d,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
37.770294_rrc2*-rrc_122.40206,37.770294_rrc2*-rrc_122.40206,1008700466.0,https://photos.zillowstatic.com/fp/d04b8f96640430ce57c106242d83bc65-p_e.jpg,True,FOR_RENT,Metro @ Showplace Square,/b/metro-%40-showplace-square-san-francisco-ca-5Yyppp/,"{'latitude': 37.770294, 'longitude': -122.40206}","[{'price': '$3,250+', 'beds': '1'}, {'price': '$4,500+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Metro @ Showplace Square,True,"670 King St, San Francisco, CA",670 King St   # 9ef8295d4,CA,San Francisco,94107,56umg858a6shk,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
37.756973_rrc2*-rrc_122.394745,37.756973_rrc2*-rrc_122.394745,2082861923.0,https://photos.zillowstatic.com/fp/f283fe686281cc452ce08942c21f1db5-p_e.jpg,True,FOR_RENT,The Landing,/b/the-landing-san-francisco-ca-9NK3gC/,"{'latitude': 37.756973, 'longitude': -122.394745}","[{'price': '$3,312+', 'beds': '1'}, {'price': '$4,272+', 'beds': '2'}, {'price': '$5,208+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,The Landing,True,"1395 22nd St, San Francisco, CA",1395 22nd St   # 405,CA,San Francisco,94107,410a06ea8avmp,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
