zpid,id,providerListingId,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latLong,isZillowOwned,variableData,badgeInfo,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,availabilityDate,list,relaxed,buildingName,canSaveBuilding,isBuilding,lotId,units,streetViewMetadataURL,streetViewURL
2077581697,2077581697,3jbx2sumu38b9,https://photos.zillowstatic.com/fp/ab80714a9056a513c6459ce364d3f0a3-p_e.jpg,True,https://www.zillow.com/b/konrad-on-the-park-san-francisco-ca-9NKJXS/,FOR_RENT,Apartment for rent,$,"$5,521/mo",5521.0,"Konrad on the Park, 971 Eddy St #305, San Francisco, CA 94109",971 Eddy St #305,San Francisco,CA,94109,False,2.0,1.0,752.0,"{'latitude': 37.782345, 'longitude': -122.42377}",False,"{'type': 'TIME_ON_INFO', 'text': '62 days ago', 'data': {'isFresh': False}}",,"{'homeInfo': {'zpid': 2077581697, 'streetAddress': '971 Eddy St #305', 'zipcode': '94109', 'city': 'San Francisco', 'state': 'CA', 'latitude': 37.782345, 'longitude': -122.42377, 'price': 5521.0, 'datePriceChanged': 1671177600000, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 752.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 3499, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 5521.0, 'priceChange': 871, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 305'}}",False,False,False,ForRent,For Rent,,False,False,False,False,False,True,,True,False,,,,,,,
37.78713_rrc2*-rrc_122.41529,37.78713_rrc2*-rrc_122.41529,1tfsqrdqh6u0s,https://photos.zillowstatic.com/fp/7d44549acc7010b64d0ea8871ed748e7-p_e.jpg,True,/b/825-post-san-francisco-ca-5XjSHY/,FOR_RENT,825 Post,,,,"825 Post St, San Francisco, CA",825 Post St   # e91de142b,San Francisco,CA,94109,,,,,"{'latitude': 37.78713, 'longitude': -122.41529}",,"{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,,False,,,,,,,False,,,,True,,True,False,825 Post,True,True,1001481774.0,"[{'price': '$1,795+', 'beds': '0'}]",,
2060827852,2060827852,q6m4u2thnfzx,https://photos.zillowstatic.com/fp/2e3912f0350f8177846e1d5c6584fa60-p_e.jpg,True,https://www.zillow.com/b/franklin-street-apartments-san-francisco-ca-9NKG6T/,FOR_RENT,Apartment for rent,$,"$4,995/mo",4995.0,"Franklin Street Apartments, 1800 Franklin St APT 308, San Francisco, CA 94109",1800 Franklin St APT 308,San Francisco,CA,94109,False,2.0,2.0,1462.0,"{'latitude': 37.791378, 'longitude': -122.42398}",False,"{'type': 'TIME_ON_INFO', 'text': '97 days ago', 'data': {'isFresh': False}}",,"{'homeInfo': {'zpid': 2060827852, 'streetAddress': '1800 Franklin St APT 308', 'zipcode': '94109', 'city': 'San Francisco', 'state': 'CA', 'latitude': 37.791378, 'longitude': -122.42398, 'price': 4995.0, 'datePriceChanged': 1675670400000, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1462.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'priceReduction': '$100 (Feb 6)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 4995.0, 'priceChange': -100, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 308'}}",False,False,False,ForRent,For Rent,,False,False,False,False,False,True,2023-02-06 00:00:00,True,False,,,,,,,
37.772366_rrc2*-rrc_122.39705,37.772366_rrc2*-rrc_122.39705,2wkg8e2zgta65,https://photos.zillowstatic.com/fp/20dba35fc3ee59257187986f1a1279ab-p_e.jpg,True,/b/edgewater-san-francisco-ca-5XjVQc/,FOR_RENT,Edgewater,,,,"355 Berry St, San Francisco, CA",355 Berry St   # 523,San Francisco,CA,94158,,,,,"{'latitude': 37.772366, 'longitude': -122.39705}",,"{'type': '3D_HOME', 'text': '3D Tour'}",,,False,,,,,,,True,,,,True,,True,False,Edgewater,True,True,1001486922.0,"[{'price': '$3,026+', 'beds': '1'}, {'price': '$4,398+', 'beds': '2'}]",,
37.720573_rrc2*-rrc_122.475845,37.720573_rrc2*-rrc_122.475845,4n7x9sups7urd,https://photos.zillowstatic.com/fp/c7e99252c7599b86d407f432bfd53b39-p_e.jpg,True,/b/parkmerced-san-francisco-ca-5XjKHx/,FOR_RENT,Parkmerced,,,,"3711 19th Ave, San Francisco, CA",3711 19th Ave  # JO001,San Francisco,CA,94132,,,,,"{'latitude': 37.720573, 'longitude': -122.475845}",,"{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,,False,,,,,,,False,,,,True,,True,False,Parkmerced,True,True,1001464986.0,"[{'price': '$2,499+', 'beds': '1'}, {'price': '$2,899+', 'beds': '2'}, {'price': '$4,800+', 'beds': '3'}]",,
37.778404_rrc2*-rrc_122.41432,37.778404_rrc2*-rrc_122.41432,4fgbxxwr0e8d,https://photos.zillowstatic.com/fp/1f453ecf446170d5708b3c6ee83f854d-p_e.jpg,True,/b/33-8th-at-trinity-place-san-francisco-ca-9NJw4S/,FOR_RENT,33 8th at Trinity Place,,,,"33 8th St, San Francisco, CA",33 8th St   Apt 309,San Francisco,CA,94103,,,,,"{'latitude': 37.778404, 'longitude': -122.41432}",,"{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,,False,,,,,,,False,,,,True,,True,False,33 8th at Trinity Place,True,True,2082848412.0,"[{'price': '$2,499+', 'beds': '1'}, {'price': '$3,199+', 'beds': '2'}]",,
37.781723_rrc2*-rrc_122.41131,37.781723_rrc2*-rrc_122.41131,4p6tj1qfkax9s,https://photos.zillowstatic.com/fp/2d8fbd35f152ca9b15625b2c58aa273d-p_e.jpg,True,/b/prism-san-francisco-ca-9NJpRh/,FOR_RENT,Prism,,,,"1028 Market St, San Francisco, CA",1028 Market St   # 903,San Francisco,CA,94102,,,,,"{'latitude': 37.781723, 'longitude': -122.41131}",,"{'type': '3D_HOME', 'text': '3D Tour'}",,,False,,,,,,,True,,,,True,,True,False,Prism,True,True,2082834949.0,"[{'price': '$2,631+', 'beds': '0'}, {'price': '$3,275+', 'beds': '1'}, {'price': '$3,718+', 'beds': '2'}]",,
37.774387_rrc2*-rrc_122.39022,37.774387_rrc2*-rrc_122.39022,11uacektppjex,https://photos.zillowstatic.com/fp/0818c3158eddda193bf92a6dbadabc3d-p_e.jpg,True,/b/channel-mission-bay-san-francisco-ca-5XjKrx/,FOR_RENT,Channel Mission Bay,,,,"185 Channel St, San Francisco, CA",185 Channel St   Apt 326,San Francisco,CA,94158,,,,,"{'latitude': 37.774387, 'longitude': -122.39022}",,"{'type': '3D_HOME', 'text': '3D Tour'}",,,False,,,,,,,True,,,,True,,True,False,Channel Mission Bay,False,True,1001466358.0,"[{'price': '$3,199+', 'beds': '0'}, {'price': '$3,699+', 'beds': '1'}, {'price': '$5,288+', 'beds': '2'}]",,
37.78241_rrc2*-rrc_122.41487,37.78241_rrc2*-rrc_122.41487,3wnnvx18047hg,https://photos.zillowstatic.com/fp/f57681e4379274a3a7857b568ea88e51-p_e.jpg,True,/b/tl-residences-brand-new-luxury-studios-san-francisco-ca-9NJqgD/,FOR_RENT,TL Residences | BRAND-NEW LUXURY STUDIOS,,,,"361 Turk St, San Francisco, CA",361 Turk St   # T315,San Francisco,CA,94102,,,,,"{'latitude': 37.78241, 'longitude': -122.41487}",,"{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,,False,,,,,,,False,,,,True,,True,False,TL Residences | BRAND-NEW LUXURY STUDIOS,True,True,2082837914.0,"[{'price': '$1,795+', 'beds': '0'}]",,
37.756973_rrc2*-rrc_122.394745,37.756973_rrc2*-rrc_122.394745,410a06ea8avmp,https://photos.zillowstatic.com/fp/f283fe686281cc452ce08942c21f1db5-p_e.jpg,True,/b/the-landing-san-francisco-ca-9NK3gC/,FOR_RENT,The Landing,,,,"1395 22nd St, San Francisco, CA",1395 22nd St   # 670,San Francisco,CA,94107,,,,,"{'latitude': 37.756973, 'longitude': -122.394745}",,"{'type': '3D_HOME', 'text': '3D Tour'}",,,False,,,,,,,True,,,,True,,True,False,The Landing,True,True,2082861923.0,"[{'price': '$3,312+', 'beds': '1'}, {'price': '$4,210+', 'beds': '2'}, {'price': '$5,208+', 'beds': '3'}]",,
37.805683_rrc2*-rrc_122.410675,37.805683_rrc2*-rrc_122.410675,4kefu7w2p48mu,https://photos.zillowstatic.com/fp/5eabb7d62743e251efccf657cf564c59-p_e.jpg,True,/b/2133-stockton-street-apartments-san-francisco-ca-5Xhzkj/,FOR_RENT,2133 Stockton Street Apartments,,,,"2133 Stockton St, San Francisco, CA",2133 Stockton St   Apt A309,San Francisco,CA,94133,,,,,"{'latitude': 37.805683, 'longitude': -122.410675}",,"{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,,False,,,,,,,False,,,,True,,True,False,2133 Stockton Street Apartments,True,True,1001427686.0,"[{'price': '$2,399+', 'beds': '1'}]",,
37.772915_rrc2*-rrc_122.419395,37.772915_rrc2*-rrc_122.419395,z4btn7y1kd2z,https://photos.zillowstatic.com/fp/0b066cf4ed3cd2f22522120cbe817dff-p_e.jpg,True,/b/chorus-san-francisco-ca-9NJvt7/,FOR_RENT,Chorus,,,,"30 Otis St, San Francisco, CA",30 Otis St   # 2601,San Francisco,CA,94103,,,,,"{'latitude': 37.772915, 'longitude': -122.419395}",,"{'type': '3D_HOME', 'text': '3D Tour'}",,,False,,,,,,,True,,,,True,,True,False,Chorus,True,True,2082848003.0,"[{'price': '$2,995+', 'beds': '0'}, {'price': '$3,363+', 'beds': '1'}, {'price': '$4,126+', 'beds': '2'}, {'price': '$7,318+', 'beds': '3'}]",,
37.770294_rrc2*-rrc_122.40206,37.770294_rrc2*-rrc_122.40206,56umg858a6shk,https://photos.zillowstatic.com/fp/d04b8f96640430ce57c106242d83bc65-p_e.jpg,True,/b/metro-%40-showplace-square-san-francisco-ca-5Yyppp/,FOR_RENT,Metro @ Showplace Square,,,,"670 King St, San Francisco, CA",670 King St   # 9ef8295d4,San Francisco,CA,94107,,,,,"{'latitude': 37.770294, 'longitude': -122.40206}",,"{'type': 'TIME_ON_INFO', 'text': None}",,,False,,,,,,,False,,,,True,,True,False,Metro @ Showplace Square,True,True,1008700466.0,"[{'price': '$3,250+', 'beds': '1'}, {'price': '$4,500+', 'beds': '2'}]",,
