zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate,streetViewMetadataURL,streetViewURL
37.782345_rrc2*-rrc_122.42377,37.782345_rrc2*-rrc_122.42377,2082892806.0,https://photos.zillowstatic.com/fp/b0b52af1daa240871f008d8302c860a8-p_e.jpg,True,FOR_RENT,Konrad on the Park,/b/konrad-on-the-park-san-francisco-ca-9NKJXS/,"{'latitude': 37.782345, 'longitude': -122.42377}","[{'price': '$4,351+', 'beds': '1'}, {'price': '$5,521+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Konrad on the Park,True,"971 Eddy St, San Francisco, CA",971 Eddy St   # 305,CA,San Francisco,94109,3jbx2sumu38b9,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
37.772366_rrc2*-rrc_122.39705,37.772366_rrc2*-rrc_122.39705,1001486922.0,https://photos.zillowstatic.com/fp/20dba35fc3ee59257187986f1a1279ab-p_e.jpg,True,FOR_RENT,Edgewater,/b/edgewater-san-francisco-ca-5XjVQc/,"{'latitude': 37.772366, 'longitude': -122.39705}","[{'price': '$3,026+', 'beds': '1'}, {'price': '$4,304+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Edgewater,True,"355 Berry St, San Francisco, CA",355 Berry St   Apt 330,CA,San Francisco,94158,2wkg8e2zgta65,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
37.720573_rrc2*-rrc_122.475845,37.720573_rrc2*-rrc_122.475845,1001464986.0,https://photos.zillowstatic.com/fp/c7e99252c7599b86d407f432bfd53b39-p_e.jpg,True,FOR_RENT,Parkmerced,/b/parkmerced-san-francisco-ca-5XjKHx/,"{'latitude': 37.720573, 'longitude': -122.475845}","[{'price': '$2,549+', 'beds': '1'}, {'price': '$2,949+', 'beds': '2'}, {'price': '$4,800+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,Parkmerced,True,"3711 19th Ave, San Francisco, CA",3711 19th Ave  # GO415,CA,San Francisco,94132,4n7x9sups7urd,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
37.774387_rrc2*-rrc_122.39022,37.774387_rrc2*-rrc_122.39022,1001466358.0,https://photos.zillowstatic.com/fp/0818c3158eddda193bf92a6dbadabc3d-p_e.jpg,True,FOR_RENT,Channel Mission Bay,/b/channel-mission-bay-san-francisco-ca-5XjKrx/,"{'latitude': 37.774387, 'longitude': -122.39022}","[{'price': '$3,199+', 'beds': '0'}, {'price': '$3,699+', 'beds': '1'}, {'price': '$5,288+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Channel Mission Bay,True,"185 Channel St, San Francisco, CA",185 Channel St   Apt 326,CA,San Francisco,94158,11uacektppjex,False,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
2084653736,2084653736,,https://photos.zillowstatic.com/fp/341f2b0c56a26dbc35e1109a278db7ee-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/350-union-street-apartments-san-francisco-ca-5XkDqx/,"{'latitude': 37.801212, 'longitude': -122.4053}",,"{'type': 'TIME_ON_INFO', 'text': '14 hours ago', 'data': {'isFresh': True}}",,,,"350 Union Street Apartments, 350 Union St APT 504, San Francisco, CA 94133",350 Union St APT 504,CA,San Francisco,94133,568w0euyfnty0,,False,True,False,True,False,,2023-02-14 00:00:00,1.0,0.0,$,False,False,"{'homeInfo': {'zpid': 2084653736, 'streetAddress': '350 Union St APT 504', 'zipcode': '94133', 'city': 'San Francisco', 'state': 'CA', 'latitude': 37.801212, 'longitude': -122.4053, 'price': 2954.0, 'bathrooms': 1.0, 'bedrooms': 0.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2664, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2954.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 504'}}",False,False,False,False,False,ForRent,"$2,954/mo",For Rent,False,2954.0,,,
37.756973_rrc2*-rrc_122.394745,37.756973_rrc2*-rrc_122.394745,2082861923.0,https://photos.zillowstatic.com/fp/f283fe686281cc452ce08942c21f1db5-p_e.jpg,True,FOR_RENT,The Landing,/b/the-landing-san-francisco-ca-9NK3gC/,"{'latitude': 37.756973, 'longitude': -122.394745}","[{'price': '$3,312+', 'beds': '1'}, {'price': '$4,210+', 'beds': '2'}, {'price': '$5,208+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,The Landing,True,"1395 22nd St, San Francisco, CA",1395 22nd St   # 667,CA,San Francisco,94107,410a06ea8avmp,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
37.78241_rrc2*-rrc_122.41487,37.78241_rrc2*-rrc_122.41487,2082837914.0,https://photos.zillowstatic.com/fp/2687b0202520bc5e07f28f7f37265d25-p_e.jpg,True,FOR_RENT,TL Residences | BRAND-NEW LUXURY STUDIOS,/b/tl-residences-brand-new-luxury-studios-san-francisco-ca-9NJqgD/,"{'latitude': 37.78241, 'longitude': -122.41487}","[{'price': '$1,795+', 'beds': '0'}]","{'type': 'TIME_ON_INFO', 'text': None}",,TL Residences | BRAND-NEW LUXURY STUDIOS,True,"361 Turk St, San Francisco, CA",361 Turk St   # T612,CA,San Francisco,94102,3wnnvx18047hg,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
37.770294_rrc2*-rrc_122.40206,37.770294_rrc2*-rrc_122.40206,1008700466.0,https://photos.zillowstatic.com/fp/d04b8f96640430ce57c106242d83bc65-p_e.jpg,True,FOR_RENT,Metro @ Showplace Square,/b/metro-%40-showplace-square-san-francisco-ca-5Yyppp/,"{'latitude': 37.770294, 'longitude': -122.40206}","[{'price': '$3,250+', 'beds': '1'}, {'price': '$4,500+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Metro @ Showplace Square,True,"670 King St, San Francisco, CA",670 King St   # ebb023674,CA,San Francisco,94107,56umg858a6shk,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
37.778404_rrc2*-rrc_122.41432,37.778404_rrc2*-rrc_122.41432,2082848412.0,https://photos.zillowstatic.com/fp/1f453ecf446170d5708b3c6ee83f854d-p_e.jpg,True,FOR_RENT,33 8th at Trinity Place,/b/33-8th-at-trinity-place-san-francisco-ca-9NJw4S/,"{'latitude': 37.778404, 'longitude': -122.41432}","[{'price': '$2,499+', 'beds': '1'}, {'price': '$3,199+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,33 8th at Trinity Place,True,"33 8th St, San Francisco, CA",33 8th St   Apt 1112,CA,San Francisco,94103,4fgbxxwr0e8d,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
37.781723_rrc2*-rrc_122.41131,37.781723_rrc2*-rrc_122.41131,2082834949.0,https://photos.zillowstatic.com/fp/2d8fbd35f152ca9b15625b2c58aa273d-p_e.jpg,True,FOR_RENT,Prism,/b/prism-san-francisco-ca-9NJpRh/,"{'latitude': 37.781723, 'longitude': -122.41131}","[{'price': '$2,294+', 'beds': '0'}, {'price': '$2,791+', 'beds': '1'}, {'price': '$3,204+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Prism,True,"1028 Market St, San Francisco, CA",1028 Market St   # 306,CA,San Francisco,94102,4p6tj1qfkax9s,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
