zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate
41.989254_rrc2*-rrc_87.655785,41.989254_rrc2*-rrc_87.655785,,https://photos.zillowstatic.com/fp/de048598c61a46b711f0b450dd99dd35-p_e.jpg,True,FOR_RENT,5900 N Sheridan Road,"/b/5900-N-Sheridan-Road-Chicago-IL/41.989254,-87.655785_ll/","{'latitude': 41.989254, 'longitude': -87.655785}","[{'price': '$1,245+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,5900 N Sheridan Road,True,"5900 N Sheridan Rd, Chicago, IL",5900 N  Sheridan Rd   # 5cgpdw6ft,IL,Chicago,60660,2ce4r8wbg75pp,False,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.87901_rrc2*-rrc_87.64938,41.87901_rrc2*-rrc_87.64938,2399681770,https://photos.zillowstatic.com/fp/f500673c648890bf70130b92ac3ba24a-p_e.jpg,True,FOR_RENT,Milieu,/b/milieu-chicago-il-BVGxyM/,"{'latitude': 41.87901, 'longitude': -87.64938}","[{'price': '$2,534+', 'beds': '1'}, {'price': '$4,365+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Milieu,True,"205 S Peoria St, Chicago, IL",205 S  Peoria St   # 1515,IL,Chicago,60607,1ef1k677g9p54,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.889797_rrc2*-rrc_87.630745,41.889797_rrc2*-rrc_87.630745,1001478896,https://photos.zillowstatic.com/fp/75c77afc03e32ef852eaa9600e0f90eb-p_e.jpg,True,FOR_RENT,AMLI River North,/b/amli-river-north-chicago-il-5XjR5q/,"{'latitude': 41.889797, 'longitude': -87.630745}","[{'price': '$2,143+', 'beds': '0'}, {'price': '$2,774+', 'beds': '1'}, {'price': '$3,795+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,AMLI River North,True,"71 W Hubbard St, Chicago, IL",71 W  Hubbard St   # 11902,IL,Chicago,60654,82ykkk27rn0u,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,
2062147657,2062147657,,https://photos.zillowstatic.com/fp/be437122baf078ac04b9b71d5ed410c4-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/7834-s-coles-chicago-il-5Xggxj/,"{'latitude': 41.753407, 'longitude': -87.55253}",,"{'type': 'TIME_ON_INFO', 'text': '13 hours ago', 'data': {'isFresh': True}}",,,,"7834 S Coles, 7834 S Coles Ave APT 6, Chicago, IL 60649",7834 S Coles Ave APT 6,IL,Chicago,60649,n4ed1rhfr68b,,False,True,False,True,False,875.0,,1.0,2.0,$,False,False,"{'homeInfo': {'zpid': 2062147657, 'streetAddress': '7834 S Coles Ave APT 6', 'zipcode': '60649', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.753407, 'longitude': -87.55253, 'price': 895.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 875.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1064, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 895.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 6'}}",False,False,False,False,False,ForRent,$895/mo,For Rent,False,895.0,
2059420503,2059420503,,https://photos.zillowstatic.com/fp/2292b229f9ba0097bcff9ffbf91473b0-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/6751-s-jeffery-blvd-chicago-il-5Xct8b/,"{'latitude': 41.771965, 'longitude': -87.5761}",,"{'type': 'TIME_ON_INFO', 'text': '13 hours ago', 'data': {'isFresh': True}}",,,,"6751 S Jeffery Blvd, 6751 S Jeffery Blvd APT 318, Chicago, IL 60649",6751 S Jeffery Blvd APT 318,IL,Chicago,60649,2r59m8z4f8tr3,,False,True,False,True,False,425.0,2023-03-10 00:00:00,1.0,0.0,$,False,False,"{'homeInfo': {'zpid': 2059420503, 'streetAddress': '6751 S Jeffery Blvd APT 318', 'zipcode': '60649', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.771965, 'longitude': -87.5761, 'price': 960.0, 'bathrooms': 1.0, 'bedrooms': 0.0, 'livingArea': 425.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 960.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 318'}}",False,False,False,False,False,ForRent,$960/mo,For Rent,False,960.0,
41.924095_rrc2*-rrc_87.636955,41.924095_rrc2*-rrc_87.636955,1010186865,https://photos.zillowstatic.com/fp/92eb8941446949c98c80bc219f05bba3-p_e.jpg,True,FOR_RENT,The Belden Stratford,/b/the-belden-stratford-chicago-il-5ZFRtT/,"{'latitude': 41.924095, 'longitude': -87.636955}","[{'price': '$2,510+', 'beds': '0'}, {'price': '$2,610+', 'beds': '1'}, {'price': '$5,112+', 'beds': '2'}, {'price': '$7,359+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,The Belden Stratford,True,"2300 N Lincoln Park W, Chicago, IL",2300 N  Lincoln Park W  # 411,IL,Chicago,60614,4wu0unqh222nz,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.93967_rrc2*-rrc_87.63999,41.93967_rrc2*-rrc_87.63999,1001076176,https://photos.zillowstatic.com/fp/2f689015e05e6a20cddce45602ad782a-p_e.jpg,True,FOR_RENT,The Belmont by Reside,/b/the-belmont-by-reside-chicago-il-5Xf2M4/,"{'latitude': 41.93967, 'longitude': -87.63999}","[{'price': '$2,102+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,The Belmont by Reside,True,"3170 N Sheridan Rd, Chicago, IL",3170 N  Sheridan Rd   Apt 319,IL,Chicago,60657,uj3jmz2z7zw3,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.8743_rrc2*-rrc_87.6759,41.8743_rrc2*-rrc_87.6759,2557564631,https://photos.zillowstatic.com/fp/0d06b741cb4d644ad86108557ea89f7a-p_e.jpg,True,FOR_RENT,The Lydian,/b/the-lydian-chicago-il-C4dx6Y/,"{'latitude': 41.8743, 'longitude': -87.6759}","[{'price': '$1,891+', 'beds': '0'}, {'price': '$2,380+', 'beds': '1'}, {'price': '$3,375+', 'beds': '2'}, {'price': '$4,700+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,The Lydian,True,"513 S Damen Ave, Chicago, IL",513 S  Damen Ave  # 1903,IL,Chicago,60612,55ty9zuaps2j0,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.897743_rrc2*-rrc_87.63013,41.897743_rrc2*-rrc_87.63013,1001088014,https://photos.zillowstatic.com/fp/04ad5748cedd77414fc51783ab44194f-p_e.jpg,True,FOR_RENT,55 W Chestnut,/b/55-w-chestnut-chicago-il-5Xf7Hd/,"{'latitude': 41.897743, 'longitude': -87.63013}","[{'price': '$1,880+', 'beds': '1'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,55 W Chestnut,True,"55 W Chestnut St, Chicago, IL",55 W  Chestnut St   # 1535707,IL,Chicago,60610,2ze3q6psgv6m0,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,
2074486377,2074486377,,https://photos.zillowstatic.com/fp/61f3bfd5ccbbdc398ec7bc4aecc10626-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/2543-47-w.-cortez-st.-chicago-il-5XgXVq/,"{'latitude': 41.90003, 'longitude': -87.69113}",,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,,,"2543 - 47 W. Cortez St., 2543 W Cortez St APT 2R, Chicago, IL 60622",2543 W Cortez St APT 2R,IL,Chicago,60622,2sz6submp2m4z,,False,True,False,True,False,756.0,2023-05-01 00:00:00,1.0,2.0,$,False,False,"{'homeInfo': {'zpid': 2074486377, 'streetAddress': '2543 W Cortez St APT 2R', 'zipcode': '60622', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.90003, 'longitude': -87.69113, 'price': 1595.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 756.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1550, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1595.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 2R'}}",False,False,False,False,False,ForRent,"$1,595/mo",For Rent,False,1595.0,
