zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,brokerName,carouselPhotos,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate,streetViewMetadataURL,streetViewURL,hasOpenHouse,openHouseDescription,openHouseEndDate,openHouseStartDate
40.588963_rrc2*-rrc_73.79774,40.588963_rrc2*-rrc_73.79774,2355011519.0,https://photos.zillowstatic.com/fp/00ca20c0f040f67e66bfc6738275e5fa-p_e.jpg,True,FOR_RENT,The Tides At Arverne By The Sea,/b/the-tides-at-arverne-by-the-sea-arverne-ny-BLWH7Z/,"{'latitude': 40.588963, 'longitude': -73.79774}","[{'price': '$2,250+', 'beds': '0'}, {'price': '$2,800+', 'beds': '1'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,The Tides At Arverne By The Sea,True,"190 Beach 69th St, Arverne, NY",190 Beach 69th St   # 94b009ec3,NY,Arverne,11692,3ww16b7ysk4v2,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.69933_rrc2*-rrc_73.80668,40.69933_rrc2*-rrc_73.80668,2565635928.0,https://photos.zillowstatic.com/fp/b71a57e7b2d6089e7b21e070a58b18d4-p_e.jpg,True,FOR_RENT,Alvista Rise,/b/alvista-rise-jamaica-ny-C64Xjv/,"{'latitude': 40.69933, 'longitude': -73.80668}","[{'price': '$2,400+', 'beds': '0'}, {'price': '$2,850+', 'beds': '1'}, {'price': '$3,093+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Alvista Rise,True,"147-25 94th Ave, Jamaica, NY",147-25 94th Ave  # 2524,NY,Jamaica,11435,vnqcny5qr65a,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.74847_rrc2*-rrc_73.93796,40.74847_rrc2*-rrc_73.93796,2179699065.0,https://photos.zillowstatic.com/fp/7ab8ec1ee70b1d2740445e4939ce1bbd-p_e.jpg,True,FOR_RENT,Jackson Park,/b/jackson-park-long-island-city-ny-9j78gP/,"{'latitude': 40.74847, 'longitude': -73.93796}","[{'price': '$3,112+', 'beds': '0'}, {'price': '$3,346+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Jackson Park,True,"28 Jackson Ave, Long Island City, NY",28 Jackson Ave  # 36B,NY,Long Island City,11101,1e74v7nrwh6bu,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.68774_rrc2*-rrc_73.978584,40.68774_rrc2*-rrc_73.978584,1150265242.0,https://photos.zillowstatic.com/fp/65d8d1ba949d63b1c6687c7eef3a565a-p_e.jpg,True,FOR_RENT,The Ashland,/b/the-ashland-brooklyn-ny-65X6Ys/,"{'latitude': 40.68774, 'longitude': -73.978584}","[{'price': '$3,795+', 'beds': '0'}, {'price': '$3,768+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}","{'type': 'INCOME_RESTRICTED', 'text': 'Income Restricted'}",The Ashland,True,"250 Ashland Pl, Brooklyn, NY",250 Ashland Pl   # 25J,NY,Brooklyn,11217,4bjnz7fss3zd6,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.6294_rrc2*-rrc_74.07401,40.6294_rrc2*-rrc_74.07401,1151147195.0,https://photos.zillowstatic.com/fp/78c1a798994661258f2dcb0e7f6cb21e-p_e.jpg,True,FOR_RENT,Staten Island Urby,/b/staten-island-urby-staten-island-ny-65gZtv/,"{'latitude': 40.6294, 'longitude': -74.07401}","[{'price': '$2,306+', 'beds': '0'}, {'price': '$2,487+', 'beds': '1'}, {'price': '$3,450+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,Staten Island Urby,True,"7 Navy Pier Ct, Staten Island, NY",7 Navy Pier Ct   # 8-2016,NY,Staten Island,10304,g22acrryz1uw,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.70381_rrc2*-rrc_73.806145,40.70381_rrc2*-rrc_73.806145,2010270546.0,https://photos.zillowstatic.com/fp/edbf053a16fa4a39a3bd581391ba0d62-p_e.jpg,True,FOR_RENT,Parkside Manor,/b/parkside-manor-jamaica-ny-97j2sW/,"{'latitude': 40.70381, 'longitude': -73.806145}","[{'price': '$1,970+', 'beds': '0'}, {'price': '$2,250+', 'beds': '1'}, {'price': '$2,900+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Parkside Manor,True,"14831 90th Ave, Jamaica, NY",14831 90th Ave  # f16310f91,NY,Jamaica,11435,4bnfxc13a3mv0,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.750156_rrc2*-rrc_73.936195,40.750156_rrc2*-rrc_73.936195,2560384211.0,https://photos.zillowstatic.com/fp/6d8c867225296ddf734ce644bfc54896-p_e.jpg,True,FOR_RENT,Sven LIC,/b/sven-lic-long-island-city-ny-C58vR2/,"{'latitude': 40.750156, 'longitude': -73.936195}","[{'price': '$3,664+', 'beds': '0'}, {'price': '$4,000+', 'beds': '1'}, {'price': '$5,630+', 'beds': '2'}, {'price': '$7,108+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Sven LIC,True,"29-59 Northern Blvd, Long Island City, NY",29-59 Northern Blvd # 62D,NY,Long Island City,11101,ce0n2c2kh54c,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.760735_rrc2*-rrc_73.96113,40.760735_rrc2*-rrc_73.96113,2297275340.0,https://photos.zillowstatic.com/fp/9ef7a920e751ad5d772358b236ddee67-p_e.jpg,True,FOR_RENT,Waterline Square,/b/waterline-square-new-york-ny-B8VWPD/,"{'latitude': 40.760735, 'longitude': -73.96113}","[{'price': '$4,791+', 'beds': '0'}, {'price': '$5,769+', 'beds': '1'}, {'price': '$9,642+', 'beds': '2'}, {'price': '$18,241+', 'beds': '3'}, {'price': '$14,704+', 'beds': '4'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,Waterline Square,True,"400 W 61st St, New York, NY",400 W  61st St   # 2302,NY,New York,10023,366qg8ju3bsfg,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060700599,2060700599,,https://photos.zillowstatic.com/fp/9ef7a920e751ad5d772358b236ddee67-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/waterline-square-new-york-ny-B8VWPD/,"{'latitude': 40.77317, 'longitude': -73.99127}",,"{'type': 'TIME_ON_INFO', 'text': '5 hours ago', 'data': {'isFresh': True}}",,,,"Waterline Square, 400 W 61st St, New York, NY 10023",400 W 61st St #2712531,NY,New York,10023,366qg8ju3bsfg,,False,True,False,True,False,907.0,,1.0,1.0,Listing by: Windsor Property Management Co.,"[{'url': 'https://photos.zillowstatic.com/fp/9ef7a920e751ad5d772358b236ddee67-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cc358b69ce3923fda80b67f9ad8cc5c4-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/874201c9fa9faeb198a5b1da52582b61-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/42e3d2c8225c759569c5b415d6597564-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/35a8b101e30bc94dc2d261f098057dd2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a6b873ea78772102bedb591d96316775-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5fae2e87ed3efb430b23c93573e1c487-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/03bd70ed87a31b84f9aed088d6fd9652-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d4d95b5149feae1aca18ef5c4c62a4d3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7adea7ad4e561b792e4bc7b084eee8b5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9b8acbc033c26d90d6cef07bdfed8116-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c60903625b6274411bc0df401671a3d1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/037a70d78779bbd29f2eae24bcd4cfd0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/693f67f7818f0c23f1af7598e42e85fb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/78c6a6c52009d58b06920f3d83f5863b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7cfd9b93559e143b378fdfda25870fcc-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5d5fb445f07957b0dc345ee4d2e8f319-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/be7cb33956dbca6f6e96b1106473fe36-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/bfbb9dc1fa40bd43629565afba2a15f5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f47f3dab8969508299f46d30315c1c3e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/08c71332544d3fe8d42d9e62e96d1bf8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/bb613dd174feff9b05b33cbe8ebd9b75-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7dec77789e2bbe8993144c442676680e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ed71ff9b11ec97838f79f918dfa178f6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4612d349e09bc1bfadae29baf493a92e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2f330c8657e9eab9efa0ce78eb1633e5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3cb469f3d7539fb8fb918f9538beac4a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/031a19f68e984cdabb82d1de3989f6ee-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0b994bfd5e8f952336edcf1cd62ecc6d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6f05721926051479a60f5dc525a38ef8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9abf8227933dadc071b657536c3b5abc-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/07119e8f32a7050b7ddbd581bedb2b58-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/392059d1359455cebde4a7ce925967a5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2527ab8b243e16e74522fc5bb869b32c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/bb061e82f98263db81dbd43cf2db217c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/45dc827817f502d75062fe1e9e8582c9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1154df8c68522743087ec52e142dcc24-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7f094305be0c32dfad9a0772bb340c5f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/07a7aac0f23aa96d08cfa982f6d0714e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9c714ff11dd215f9bb9ded4252f6bb92-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2774cbc389da47b44690ddbc00aed29f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/823e51128ae047a652a052be86234371-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c64a0ab851e1748d5bd139a2413e63ca-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1f122ad89c85c513e910b9c402788430-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/61e36381d58f91ccf2bece913bcf0ae9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c0126940015fc044f8637b8983911f35-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1d5c9071fdbddeeba0ed13310006c228-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1d876c6a48adc5268fc9203c6fc038b8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e1635ea76e1237d9aa6376ce235f6ebb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d14ed19c3daf72a74b43b0813a9ceb35-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e42eabbc1768baa7835124a60c02698f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/daa043a681d67d3f0dec06c377b38552-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e1f05fac25f31fed4b5b7d43c4445581-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b91eac47f9b3e85b8205fb12534bb89f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c0db1fab80907862be67c9412d56f67e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3beaf452d7f298c67a6904790309a212-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5323916be1b9be2f272e297b273540e6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/64840d66baa7b0853eaf8aca23a9aef7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3b983600f5a33ab027acc321fcbb043c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/461b883a879592121fffd74e64700c2a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/81dc9bea83f3e09c46bcfa47c123814c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/eb7374725cce07b43caba729dbd088cb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/dadb36833e23ed4fd751e7eee6954051-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a79a82a335483b288bfaefd0e0c82819-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c804c7b2ba9f731c70aea96fceb89b16-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4850f0a54463c7c0535e26a332f3feca-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1ad300def1feaf5af544952776da15a5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d7188146ef3be1dd40b8fc590c14e8d7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c854d8a1e7272891f98517f43e38779a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a566bcb58d7c7f48759e0f1d04513832-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d1cd1b3ba69a1c70d118083fc8fdd17b-p_e.jpg'}]",$,True,False,"{'homeInfo': {'zpid': 2060700599, 'streetAddress': '400 W 61st St #2712531', 'zipcode': '10023', 'city': 'New York', 'state': 'NY', 'latitude': 40.77317, 'longitude': -73.99127, 'price': 8558.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 907.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 8558.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 2712531'}}",False,False,False,False,False,ForRent,"$8,558+/mo",For Rent,False,8558.0,,,,,,,
40.70073_rrc2*-rrc_73.806465,40.70073_rrc2*-rrc_73.806465,2510180978.0,https://photos.zillowstatic.com/fp/e66116306656651c94ad3c9dfbefee3b-p_e.jpg,True,FOR_RENT,Jamaica Station Crossing,/b/jamaica-station-crossing-jamaica-ny-BtRC8F/,"{'latitude': 40.70073, 'longitude': -73.806465}","[{'price': '$2,040+', 'beds': '0'}, {'price': '$2,295+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Jamaica Station Crossing,True,"147-40 Archer Ave, Jamaica, NY",147-40 Archer Ave  # 942245d62,NY,Jamaica,11435,yy5evqqv7r9f,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
