,Unnamed: 0,lotId,units,addressState,addressCity,addressZipcode,baths,beds,price,unformattedPrice,id
0,0,1044499437.0,"[{'price': '$3,100+', 'beds': '0'",NY,New York,10005,,,,,40.70457_rrc2*-rrc_74.00886
1,0,1044499437.0,"'price': '$3,921+', 'beds': '1'",NY,New York,10005,,,,,40.70457_rrc2*-rrc_74.00886
2,0,1044499437.0,"'price': '$6,395+', 'beds': '2'}]",NY,New York,10005,,,,,40.70457_rrc2*-rrc_74.00886
3,1,2355011519.0,"[{'price': '$2,250+', 'beds': '0'",NY,Arverne,11692,,,,,40.588963_rrc2*-rrc_73.79774
4,1,2355011519.0,"'price': '$2,800+', 'beds': '1'}]",NY,Arverne,11692,,,,,40.588963_rrc2*-rrc_73.79774
5,2,2560384211.0,"[{'price': '$3,664+', 'beds': '0'",NY,Long Island City,11101,,,,,40.750156_rrc2*-rrc_73.936195
6,2,2560384211.0,"'price': '$4,000+', 'beds': '1'",NY,Long Island City,11101,,,,,40.750156_rrc2*-rrc_73.936195
7,2,2560384211.0,"'price': '$5,630+', 'beds': '2'",NY,Long Island City,11101,,,,,40.750156_rrc2*-rrc_73.936195
8,2,2560384211.0,"'price': '$7,108+', 'beds': '3'}]",NY,Long Island City,11101,,,,,40.750156_rrc2*-rrc_73.936195
9,3,2009531814.0,"[{'price': '$5,075+', 'beds': '1'",NY,Brooklyn,11201,,,,,40.691814_rrc2*-rrc_73.982994
10,3,2009531814.0,"'price': '$7,495+', 'beds': '2'",NY,Brooklyn,11201,,,,,40.691814_rrc2*-rrc_73.982994
11,3,2009531814.0,"'price': '$10,495+', 'beds': '3'}]",NY,Brooklyn,11201,,,,,40.691814_rrc2*-rrc_73.982994
12,4,1000000545.0,"[{'price': '$3,411+', 'beds': '0'",NY,New York,10005,,,,,40.704678_rrc2*-rrc_74.007576
13,4,1000000545.0,"'price': '$4,225+', 'beds': '1'}]",NY,New York,10005,,,,,40.704678_rrc2*-rrc_74.007576
14,5,2179699065.0,"[{'price': '$3,112+', 'beds': '0'",NY,Long Island City,11101,,,,,40.74847_rrc2*-rrc_73.93796
15,5,2179699065.0,"'price': '$3,346+', 'beds': '1'}]",NY,Long Island City,11101,,,,,40.74847_rrc2*-rrc_73.93796
16,6,1150265242.0,"[{'price': '$3,376+', 'beds': '0'",NY,Brooklyn,11217,,,,,40.68774_rrc2*-rrc_73.978584
17,6,1150265242.0,"'price': '$3,768+', 'beds': '1'}]",NY,Brooklyn,11217,,,,,40.68774_rrc2*-rrc_73.978584
18,7,1151147195.0,"[{'price': '$2,230+', 'beds': '0'",NY,Staten Island,10304,,,,,40.6294_rrc2*-rrc_74.07401
19,7,1151147195.0,"'price': '$2,380+', 'beds': '1'",NY,Staten Island,10304,,,,,40.6294_rrc2*-rrc_74.07401
20,7,1151147195.0,"'price': '$3,450+', 'beds': '2'}]",NY,Staten Island,10304,,,,,40.6294_rrc2*-rrc_74.07401
21,8,2577962296.0,"[{'price': '$2,260+', 'beds': '0'",NY,Jamaica,11433,,,,,40.703262_rrc2*-rrc_73.798485
22,8,2577962296.0,"'price': '$2,620+', 'beds': '1'",NY,Jamaica,11433,,,,,40.703262_rrc2*-rrc_73.798485
23,8,2577962296.0,"'price': '$3,710+', 'beds': '2'}]",NY,Jamaica,11433,,,,,40.703262_rrc2*-rrc_73.798485
24,9,1001683821.0,"[{'price': '$3,750+', 'beds': '0'",NY,New York,10036,,,,,40.76221_rrc2*-rrc_73.99658
25,9,1001683821.0,"'price': '$4,200+', 'beds': '1'",NY,New York,10036,,,,,40.76221_rrc2*-rrc_73.99658
26,9,1001683821.0,"'price': '$6,170+', 'beds': '2'",NY,New York,10036,,,,,40.76221_rrc2*-rrc_73.99658
27,9,1001683821.0,"'price': '$8,237+', 'beds': '3'}]",NY,New York,10036,,,,,40.76221_rrc2*-rrc_73.99658
28,10,1001493439.0,"[{'price': '$3,325+', 'beds': '0'",NY,New York,10280,,,,,40.711334_rrc2*-rrc_74.0168
29,10,1001493439.0,"'price': '$4,055+', 'beds': '1'",NY,New York,10280,,,,,40.711334_rrc2*-rrc_74.0168
30,10,1001493439.0,"'price': '$5,725+', 'beds': '2'}]",NY,New York,10280,,,,,40.711334_rrc2*-rrc_74.0168
31,11,533483.0,"[{'price': '$3,670+', 'beds': '0'",NY,New York,10016,,,,,40.745895_rrc2*-rrc_73.97929
32,11,533483.0,"'price': '$3,995+', 'beds': '1'}]",NY,New York,10016,,,,,40.745895_rrc2*-rrc_73.97929
33,12,2444024147.0,"[{'price': '$1,858+', 'beds': '0'",NY,Brooklyn,11224,,,,,40.572636_rrc2*-rrc_74.000755
34,12,2444024147.0,"'price': '$2,456+', 'beds': '1'",NY,Brooklyn,11224,,,,,40.572636_rrc2*-rrc_74.000755
35,12,2444024147.0,"'price': '$2,846+', 'beds': '2'}]",NY,Brooklyn,11224,,,,,40.572636_rrc2*-rrc_74.000755
36,13,2565635928.0,"[{'price': '$2,400+', 'beds': '0'",NY,Jamaica,11435,,,,,40.69933_rrc2*-rrc_73.80668
37,13,2565635928.0,"'price': '$2,850+', 'beds': '1'",NY,Jamaica,11435,,,,,40.69933_rrc2*-rrc_73.80668
38,13,2565635928.0,"'price': '$3,093+', 'beds': '2'}]",NY,Jamaica,11435,,,,,40.69933_rrc2*-rrc_73.80668
39,14,130939.0,"[{'price': '$2,400+', 'beds': '0'",NY,Bronx,10463,,,,,40.878735_rrc2*-rrc_73.91449
40,14,130939.0,"'price': '$2,500+', 'beds': '1'",NY,Bronx,10463,,,,,40.878735_rrc2*-rrc_73.91449
41,14,130939.0,"'price': '$3,500+', 'beds': '2'}]",NY,Bronx,10463,,,,,40.878735_rrc2*-rrc_73.91449
42,15,1000047013.0,"[{'price': '$3,241+', 'beds': '0'",NY,New York,10025,,,,,40.79471_rrc2*-rrc_73.96675
43,15,1000047013.0,"'price': '$4,689+', 'beds': '1'",NY,New York,10025,,,,,40.79471_rrc2*-rrc_73.96675
44,15,1000047013.0,"'price': '$6,592+', 'beds': '2'}]",NY,New York,10025,,,,,40.79471_rrc2*-rrc_73.96675
45,16,2510180978.0,"[{'price': '$2,040+', 'beds': '0'",NY,Jamaica,11435,,,,,40.70073_rrc2*-rrc_73.806465
46,16,2510180978.0,"'price': '$2,295+', 'beds': '1'}]",NY,Jamaica,11435,,,,,40.70073_rrc2*-rrc_73.806465
47,17,2176833280.0,"[{'price': '$1,700+', 'beds': '0'",NY,Jamaica,11432,,,,,40.706898_rrc2*-rrc_73.80466
48,17,2176833280.0,"'price': '$2,199+', 'beds': '1'",NY,Jamaica,11432,,,,,40.706898_rrc2*-rrc_73.80466
49,17,2176833280.0,"'price': '$2,599+', 'beds': '2'}]",NY,Jamaica,11432,,,,,40.706898_rrc2*-rrc_73.80466
50,18,1000023258.0,"[{'price': '$3,528+', 'beds': '0'",NY,New York,10016,,,,,40.74365_rrc2*-rrc_73.97271
51,18,1000023258.0,"'price': '$3,878+', 'beds': '1'",NY,New York,10016,,,,,40.74365_rrc2*-rrc_73.97271
52,18,1000023258.0,"'price': '$6,479+', 'beds': '2'",NY,New York,10016,,,,,40.74365_rrc2*-rrc_73.97271
53,18,1000023258.0,"'price': '$7,355+', 'beds': '3'}]",NY,New York,10016,,,,,40.74365_rrc2*-rrc_73.97271
54,19,2183047006.0,"[{'price': '$1,850+', 'beds': '0'",NY,Elmhurst,11373,,,,,40.736652_rrc2*-rrc_73.86645
55,19,2183047006.0,"'price': '$2,299+', 'beds': '1'",NY,Elmhurst,11373,,,,,40.736652_rrc2*-rrc_73.86645
56,19,2183047006.0,"'price': '$2,699+', 'beds': '2'",NY,Elmhurst,11373,,,,,40.736652_rrc2*-rrc_73.86645
57,19,2183047006.0,"'price': '$3,199+', 'beds': '3'}]",NY,Elmhurst,11373,,,,,40.736652_rrc2*-rrc_73.86645
58,20,2171488054.0,"[{'price': '$1,450+', 'beds': '0'",NY,Far Rockaway,11691,,,,,40.59547_rrc2*-rrc_73.75555
59,20,2171488054.0,"'price': '$1,899+', 'beds': '1'",NY,Far Rockaway,11691,,,,,40.59547_rrc2*-rrc_73.75555
60,20,2171488054.0,"'price': '$2,199+', 'beds': '2'}]",NY,Far Rockaway,11691,,,,,40.59547_rrc2*-rrc_73.75555
61,21,2326650063.0,"[{'price': '$2,524+', 'beds': '2'}]",NY,Bronx,10452,,,,,40.83094_rrc2*-rrc_73.92949
62,22,1003190227.0,"[{'price': '$1,650+', 'beds': '0'",NY,Jamaica,11432,,,,,40.709915_rrc2*-rrc_73.79607
63,22,1003190227.0,"'price': '$2,099+', 'beds': '1'",NY,Jamaica,11432,,,,,40.709915_rrc2*-rrc_73.79607
64,22,1003190227.0,"'price': '$2,499+', 'beds': '2'}]",NY,Jamaica,11432,,,,,40.709915_rrc2*-rrc_73.79607
65,23,2010270546.0,"[{'price': '$1,970+', 'beds': '0'",NY,Jamaica,11435,,,,,40.70381_rrc2*-rrc_73.806145
66,23,2010270546.0,"'price': '$2,250+', 'beds': '1'",NY,Jamaica,11435,,,,,40.70381_rrc2*-rrc_73.806145
67,23,2010270546.0,"'price': '$2,900+', 'beds': '2'}]",NY,Jamaica,11435,,,,,40.70381_rrc2*-rrc_73.806145
68,24,2174027909.0,"[{'price': '$1,700+', 'beds': '0'",NY,Flushing,11355,,,,,40.755264_rrc2*-rrc_73.82179
69,24,2174027909.0,"'price': '$2,000+', 'beds': '1'",NY,Flushing,11355,,,,,40.755264_rrc2*-rrc_73.82179
70,24,2174027909.0,"'price': '$2,599+', 'beds': '2'}]",NY,Flushing,11355,,,,,40.755264_rrc2*-rrc_73.82179
71,25,2346806732.0,"[{'price': '$1,581+', 'beds': '0'}]",NY,Long Island City,11101,,,,,40.74971_rrc2*-rrc_73.93616
72,26,1000487223.0,"[{'price': '$4,208+', 'beds': '0'",NY,New York,10001,,,,,40.746876_rrc2*-rrc_73.99032
73,26,1000487223.0,"'price': '$5,430+', 'beds': '1'",NY,New York,10001,,,,,40.746876_rrc2*-rrc_73.99032
74,26,1000487223.0,"'price': '$7,483+', 'beds': '2'}]",NY,New York,10001,,,,,40.746876_rrc2*-rrc_73.99032
75,27,1003184949.0,"[{'price': '$1,795+', 'beds': '0'",NY,Little Neck,11363,,,,,40.7726_rrc2*-rrc_73.75205
76,27,1003184949.0,"'price': '$2,345+', 'beds': '1'",NY,Little Neck,11363,,,,,40.7726_rrc2*-rrc_73.75205
77,27,1003184949.0,"'price': '$2,795+', 'beds': '2'}]",NY,Little Neck,11363,,,,,40.7726_rrc2*-rrc_73.75205
78,28,13907.0,"[{'price': '$3,895+', 'beds': '0'",NY,New York,10018,,,,,40.751972_rrc2*-rrc_73.9857
79,28,13907.0,"'price': '$4,795+', 'beds': '1'",NY,New York,10018,,,,,40.751972_rrc2*-rrc_73.9857
80,28,13907.0,"'price': '$6,938+', 'beds': '2'}]",NY,New York,10018,,,,,40.751972_rrc2*-rrc_73.9857
81,29,1002189771.0,"[{'price': '$2,935+', 'beds': '0'",NY,Brooklyn,11201,,,,,40.69274_rrc2*-rrc_73.985954
82,29,1002189771.0,"'price': '$3,837+', 'beds': '1'",NY,Brooklyn,11201,,,,,40.69274_rrc2*-rrc_73.985954
83,29,1002189771.0,"'price': '$5,407+', 'beds': '2'}]",NY,Brooklyn,11201,,,,,40.69274_rrc2*-rrc_73.985954
84,30,1001491756.0,"[{'price': '$3,623+', 'beds': '0'",NY,New York,10025,,,,,40.79256_rrc2*-rrc_73.96801
85,30,1001491756.0,"'price': '$3,797+', 'beds': '1'",NY,New York,10025,,,,,40.79256_rrc2*-rrc_73.96801
86,30,1001491756.0,"'price': '$6,067+', 'beds': '2'}]",NY,New York,10025,,,,,40.79256_rrc2*-rrc_73.96801
87,31,142808.0,"[{'price': '$3,665+', 'beds': '1'}]",NY,Brooklyn,11231,,,,,40.677982_rrc2*-rrc_73.99008
88,32,1002909316.0,"[{'price': '$3,396+', 'beds': '0'",NY,Brooklyn,11201,,,,,40.69398_rrc2*-rrc_73.99189
89,32,1002909316.0,"'price': '$3,476+', 'beds': '1'",NY,Brooklyn,11201,,,,,40.69398_rrc2*-rrc_73.99189
90,32,1002909316.0,"'price': '$6,068+', 'beds': '2'",NY,Brooklyn,11201,,,,,40.69398_rrc2*-rrc_73.99189
91,32,1002909316.0,"'price': '$7,909+', 'beds': '3'}]",NY,Brooklyn,11201,,,,,40.69398_rrc2*-rrc_73.99189
92,33,2008868578.0,"[{'price': '$2,827+', 'beds': '0'",NY,Bronx,10451,,,,,40.808548_rrc2*-rrc_73.9316
93,33,2008868578.0,"'price': '$2,572+', 'beds': '1'",NY,Bronx,10451,,,,,40.808548_rrc2*-rrc_73.9316
94,33,2008868578.0,"'price': '$3,135+', 'beds': '2'}]",NY,Bronx,10451,,,,,40.808548_rrc2*-rrc_73.9316
95,34,2404255181.0,"[{'price': '$3,228+', 'beds': '0'",NY,Brooklyn,11222,,,,,40.736507_rrc2*-rrc_73.95958
96,34,2404255181.0,"'price': '$4,370+', 'beds': '1'",NY,Brooklyn,11222,,,,,40.736507_rrc2*-rrc_73.95958
97,34,2404255181.0,"'price': '$6,530+', 'beds': '2'}]",NY,Brooklyn,11222,,,,,40.736507_rrc2*-rrc_73.95958
98,35,1000463103.0,"[{'price': '$2,800+', 'beds': '0'",NY,Long Island City,11109,,,,,40.74507_rrc2*-rrc_73.95666
99,35,1000463103.0,"'price': '$3,475+', 'beds': '1'",NY,Long Island City,11109,,,,,40.74507_rrc2*-rrc_73.95666
100,35,1000463103.0,"'price': '$4,749+', 'beds': '2'",NY,Long Island City,11109,,,,,40.74507_rrc2*-rrc_73.95666
101,35,1000463103.0,"'price': '$6,942+', 'beds': '3'}]",NY,Long Island City,11109,,,,,40.74507_rrc2*-rrc_73.95666
102,36,2357476695.0,"[{'price': '$3,525+', 'beds': '0'",NY,Brooklyn,11222,,,,,40.736706_rrc2*-rrc_73.95905
103,36,2357476695.0,"'price': '$4,225+', 'beds': '1'",NY,Brooklyn,11222,,,,,40.736706_rrc2*-rrc_73.95905
104,36,2357476695.0,"'price': '$7,295+', 'beds': '2'}]",NY,Brooklyn,11222,,,,,40.736706_rrc2*-rrc_73.95905
105,37,1000175615.0,"[{'price': '$3,601+', 'beds': '0'",NY,New York,10019,,,,,40.76183_rrc2*-rrc_73.98581
106,37,1000175615.0,"'price': '$4,253+', 'beds': '1'",NY,New York,10019,,,,,40.76183_rrc2*-rrc_73.98581
