zpid,id,providerListingId,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latLong,isZillowOwned,variableData,badgeInfo,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,availabilityDate,list,relaxed,buildingName,canSaveBuilding,isBuilding,lotId,units,streetViewMetadataURL,streetViewURL,best_deal
29381605,29381605,3v5fv2bh6u56y,https://photos.zillowstatic.com/fp/3aaa4711176fb749315bc4cd1ba0e604-p_e.jpg,True,https://www.zillow.com/homedetails/2503-Willow-St-Austin-TX-78702/29381605_zpid/,FOR_RENT,House for rent,$,"$4,900/mo",4900.0,"2503 Willow St, Austin, TX 78702",2503 Willow St,Austin,TX,78702,False,3.0,2.5,2118.0,"{'latitude': 30.253105, 'longitude': -97.716995}",False,"{'type': 'TIME_ON_INFO', 'text': '16 hours ago', 'data': {'isFresh': True}}",,False,False,False,ForRent,For Rent,1277000,False,False,False,False,False,True,2023-03-01 00:00:00,True,False,,,,,,,,-1272100.0
2088921266,2088921266,2bum96ktqmf1t,https://photos.zillowstatic.com/fp/315c9367025acc37fff25ac8e1e79d56-p_e.jpg,True,https://www.zillow.com/b/406-west-johanna-street-austin-tx-5YbYWx/,FOR_RENT,Apartment for rent,$,"$2,500/mo",2500.0,"406 West Johanna Street, 406 W Johanna St #B, Austin, TX 78704",406 W Johanna St #B,Austin,TX,78704,False,1.0,1.0,,"{'latitude': 30.245466, 'longitude': -97.75502}",False,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,False,False,False,ForRent,For Rent,917100,False,False,False,False,False,True,2023-03-01 00:00:00,True,False,,,,,,,,-914600.0
2079099987,2079099987,3rsp2mee203rr,https://photos.zillowstatic.com/fp/22cf38e6ff604da170c57d2309614fe3-p_e.jpg,True,https://www.zillow.com/homedetails/2103-Enfield-Rd-A-Austin-TX-78703/2079099987_zpid/,FOR_RENT,Apartment for rent,$,"$2,795/mo",2795.0,"2103 Enfield Rd #A, Austin, TX 78703",2103 Enfield Rd #A,Austin,TX,78703,False,2.0,1.0,1144.0,"{'latitude': 30.286255, 'longitude': -97.76526}",False,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,False,False,False,ForRent,For Rent,916800,False,False,False,False,False,True,,True,False,,,,,,,,-914005.0
79981549,79981549,3m3kje01xre8y,https://photos.zillowstatic.com/fp/bd75eacd8d8eaf249aaaa89ba8f169be-p_e.jpg,True,https://www.zillow.com/homedetails/500-Zennia-St-B-Austin-TX-78751/79981549_zpid/,FOR_RENT,Apartment for rent,$,"$4,500/mo",4500.0,"500 Zennia St #B, Austin, TX 78751",500 Zennia St #B,Austin,TX,78751,False,4.0,3.5,2011.0,"{'latitude': 30.318262, 'longitude': -97.72715}",False,"{'type': 'TIME_ON_INFO', 'text': '6 hours ago', 'data': {'isFresh': True}}",,False,False,False,ForRent,For Rent,807300,False,False,False,False,False,True,2023-02-01 00:00:00,True,False,,,,,,,,-802800.0
58303719,58303719,6xs7tf9wvs57,https://photos.zillowstatic.com/fp/520c02e36a9cbfe8c8adc03ca714ee38-p_e.jpg,True,https://www.zillow.com/homedetails/11406-Ruffed-Grouse-Dr-Austin-TX-78758/58303719_zpid/,FOR_RENT,House for rent,$,"$3,900/mo",3900.0,"11406 Ruffed Grouse Dr, Austin, TX 78758",11406 Ruffed Grouse Dr,Austin,TX,78758,False,3.0,2.0,1473.0,"{'latitude': 30.39193, 'longitude': -97.70209}",False,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,False,False,False,ForRent,For Rent,506300,False,False,False,False,False,True,,True,False,,,,,,,,-502400.0
79981536,79981536,4x8m42db1czsn,https://photos.zillowstatic.com/fp/3293164dd8486427303d167648fb4470-p_e.jpg,True,https://www.zillow.com/homedetails/3016-Guadalupe-St-APT-212-Austin-TX-78705/79981536_zpid/,FOR_RENT,Apartment for rent,$,"$1,995/mo",1995.0,"3016 Guadalupe St APT 212, Austin, TX 78705",3016 Guadalupe St APT 212,Austin,TX,78705,False,2.0,2.0,1053.0,"{'latitude': 30.29689, 'longitude': -97.74184}",False,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,False,False,False,ForRent,For Rent,437000,False,False,False,False,False,True,2023-08-09 00:00:00,True,False,,,,,,,,-435005.0
60138937,60138937,29uhdfn2vv4up,https://photos.zillowstatic.com/fp/3499e618c52f162014249d7aa1216d56-p_e.jpg,True,https://www.zillow.com/homedetails/11204-Blairview-Ln-Austin-TX-78748/60138937_zpid/,FOR_RENT,House for rent,$,"$3,250/mo",3250.0,"11204 Blairview Ln, Austin, TX 78748",11204 Blairview Ln,Austin,TX,78748,False,3.0,2.0,1901.0,"{'latitude': 30.158546, 'longitude': -97.84197}",False,"{'type': 'TIME_ON_INFO', 'text': '1 day ago', 'data': {'isFresh': False}}",,False,False,False,ForRent,For Rent,436100,False,False,False,False,False,True,2023-04-01 00:00:00,True,False,,,,,,,,-432850.0
70348928,70348928,1wxaac9mtpr55,https://photos.zillowstatic.com/fp/4fc67bd5bf5be86351c83108fc21842d-p_e.jpg,True,https://www.zillow.com/homedetails/11970-Jollyville-Rd-APT-104-Austin-TX-78759/70348928_zpid/,FOR_RENT,Condo for rent,$,"$1,800/mo",1800.0,"11970 Jollyville Rd APT 104, Austin, TX 78759",11970 Jollyville Rd APT 104,Austin,TX,78759,False,2.0,2.0,1069.0,"{'latitude': 30.427027, 'longitude': -97.75934}",False,"{'type': 'TIME_ON_INFO', 'text': '16 hours ago', 'data': {'isFresh': True}}",,False,False,False,ForRent,For Rent,294700,False,False,False,False,False,True,,True,False,,,,,,,,-292900.0
2066702396,2066702396,459m3dcx2aquk,https://photos.zillowstatic.com/fp/341984761e6d3bcd5c09328550ead2cc-p_e.jpg,True,https://www.zillow.com/b/towne-oaks-i-austin-tx-5XhtCs/,FOR_RENT,Apartment for rent,$,"$1,050+/mo",1050.0,"Towne Oaks I, 500 E Anderson Ln, Austin, TX 78752",500 E Anderson Ln #76C5190B8,Austin,TX,78752,False,1.0,1.0,702.0,"{'latitude': 30.342258, 'longitude': -97.70144}",False,"{'type': 'TIME_ON_INFO', 'text': '90 days ago', 'data': {'isFresh': False}}",,False,False,False,ForRent,For Rent,0,False,False,False,False,False,True,,True,False,,,,,,,,1050.0
2080878985,2080878985,1fx248vmbxq6p,https://photos.zillowstatic.com/fp/0e37d03f212e17a3f0a97c1d4012024b-p_e.jpg,True,https://www.zillow.com/b/waterloo-flats-austin-tx-5Xht7q/,FOR_RENT,Apartment for rent,$,"$1,132/mo",1132.0,"Waterloo Flats, 1300 S Pleasant Valley Rd APT 139, Austin, TX 78741",1300 S Pleasant Valley Rd APT 139,Austin,TX,78741,False,1.0,1.0,510.0,"{'latitude': 30.240463, 'longitude': -97.71967}",False,"{'type': 'TIME_ON_INFO', 'text': '10 days ago', 'data': {'isFresh': False}}",,False,False,False,ForRent,For Rent,0,False,False,False,False,False,True,2023-04-22 00:00:00,True,False,,,,,,,,1132.0
