zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate,streetViewMetadataURL,streetViewURL
42.34979_rrc2*-rrc_71.04442,42.34979_rrc2*-rrc_71.04442,2449473779.0,https://photos.zillowstatic.com/fp/04bec9f956ec8e6b1c6abfd6ca986fa1-p_e.jpg,True,FOR_RENT,The Alyx at EchelonSeaport,/b/the-alyx-at-echelonseaport-boston-ma-BfvBzp/,"{'latitude': 42.34979, 'longitude': -71.04442}","[{'price': '$3,333+', 'beds': '0'}, {'price': '$4,025+', 'beds': '1'}, {'price': '$6,390+', 'beds': '2'}, {'price': '$7,552+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,The Alyx at EchelonSeaport,True,"131 Seaport Blvd, Boston, MA",131 Seaport Blvd Unit 1503,MA,Boston,02210,1e7ey8jz4w0v0,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
42.36334_rrc2*-rrc_71.130844,42.36334_rrc2*-rrc_71.130844,1141010815.0,https://photos.zillowstatic.com/fp/4e1e07a910f04b283e2bc591555d2918-p_e.jpg,True,FOR_RENT,Continuum,/b/continuum-allston-ma-63wRB2/,"{'latitude': 42.36334, 'longitude': -71.130844}","[{'price': '$2,839+', 'beds': '0'}, {'price': '$3,719+', 'beds': '1'}, {'price': '$5,191+', 'beds': '2'}, {'price': '$6,047+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,Continuum,True,"219 Western Ave, Allston, MA",219 Western Ave  # S503,MA,Allston,02134,1xq3f92jq7528,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
42.343193_rrc2*-rrc_71.05624,42.343193_rrc2*-rrc_71.05624,2568414777.0,https://photos.zillowstatic.com/fp/eb35ccd29539ced3bb40cb357955c303-p_e.jpg,True,FOR_RENT,Zero Athens,/b/zero-athens-boston-ma-C6XB77/,"{'latitude': 42.343193, 'longitude': -71.05624}","[{'price': '$2,775+', 'beds': '0'}, {'price': '$3,450+', 'beds': '1'}, {'price': '$7,750+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Zero Athens,True,"35 W 2nd St, Boston, MA",35 W  2nd St   # 201,MA,Boston,02127,6ruq5tbjdfc1,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
42.34091_rrc2*-rrc_71.049706,42.34091_rrc2*-rrc_71.049706,1002103936.0,https://photos.zillowstatic.com/fp/836df9adee58162df965725fc928ab0f-p_e.jpg,True,FOR_RENT,West Square Apartments,/b/west-square-apartments-boston-ma-5XqkPk/,"{'latitude': 42.34091, 'longitude': -71.049706}","[{'price': '$2,900+', 'beds': '0'}, {'price': '$3,150+', 'beds': '1'}, {'price': '$4,100+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,West Square Apartments,True,"320 D St, Boston, MA",320 D St   Unit 250,MA,Boston,02127,2d1ez3jknsdrk,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
42.36606_rrc2*-rrc_71.040245,42.36606_rrc2*-rrc_71.040245,2351986490.0,https://photos.zillowstatic.com/fp/4db3db073132be45f0bd58d07fc81b91-p_e.jpg,True,FOR_RENT,Portside at East Pier,/b/portside-at-east-pier-east-boston-ma-BKzYDJ/,"{'latitude': 42.36606, 'longitude': -71.040245}","[{'price': '$2,933+', 'beds': '0'}, {'price': '$2,902+', 'beds': '1'}, {'price': '$4,085+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Portside at East Pier,True,"40 E Pier Dr, Boston, MA",40 E  Pier Dr   # PE2-2205,MA,Boston,02128,3f7zrhfqh3ytu,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
42.342327_rrc2*-rrc_71.055595,42.342327_rrc2*-rrc_71.055595,2483039231.0,https://photos.zillowstatic.com/fp/5868dd55fe196492045a4403f17c278d-p_e.jpg,True,FOR_RENT,The Residences on Broadway,/b/the-residences-on-broadway-south-boston-ma-BnjTn3/,"{'latitude': 42.342327, 'longitude': -71.055595}","[{'price': '$3,399+', 'beds': '0'}, {'price': '$3,133+', 'beds': '1'}, {'price': '$3,966+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,The Residences on Broadway,True,"50 W Broadway, Boston, MA",50 W  Broadway # 4-03,MA,Boston,02127,1274jj82vterc,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
42.331944_rrc2*-rrc_71.099655,42.331944_rrc2*-rrc_71.099655,1001444318.0,https://photos.zillowstatic.com/fp/033348a35e5b3603ea003b1a585db831-p_e.jpg,True,FOR_RENT,The Laneway,/b/the-laneway-boston-ma-5Xj8g9/,"{'latitude': 42.331944, 'longitude': -71.099655}","[{'price': '$2,650+', 'beds': '0'}, {'price': '$3,025+', 'beds': '1'}, {'price': '$4,125+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,The Laneway,True,"9 Burney St, Roxbury Crossing, MA",9 Burney St   # 5ffd3a59e,MA,Roxbury Crossing,02120,52hhkx6qvqkyr,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
42.337013_rrc2*-rrc_71.073395,42.337013_rrc2*-rrc_71.073395,1138082071.0,https://photos.zillowstatic.com/fp/8f31fdc448504f3927f104df55b189a2-p_e.jpg,True,FOR_RENT,The Cosmopolitan,/b/the-cosmopolitan-boston-ma-63QXMj/,"{'latitude': 42.337013, 'longitude': -71.073395}","[{'price': '$4,000+', 'beds': '1'}, {'price': '$6,450+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,The Cosmopolitan,True,"771 Harrison Ave, Boston, MA",771 Harrison Ave  # 89eab427a,MA,Boston,02118,4s5burj105e4j,False,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
42.319527_rrc2*-rrc_71.03987,42.319527_rrc2*-rrc_71.03987,1001477589.0,https://photos.zillowstatic.com/fp/fc2453cd072ab1b062009ed1c9d7d211-p_e.jpg,True,FOR_RENT,Harbor Point,/b/harbor-point-boston-ma-5XjQX9/,"{'latitude': 42.319527, 'longitude': -71.03987}","[{'price': '$2,600+', 'beds': '1'}, {'price': '$3,300+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,Harbor Point,True,"24 Oyster Bay Rd, Dorchester, MA",24 Oyster Bay Rd   # 360306,MA,Dorchester,02125,52n8rjwb6dyn0,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
42.2674_rrc2*-rrc_71.171295,42.2674_rrc2*-rrc_71.171295,2562314220.0,https://photos.zillowstatic.com/fp/d7ba5d2962f287547551c58aef05edb6-p_e.jpg,True,FOR_RENT,Parkway Apartments,/b/parkway-apartments-west-roxbury-ma-C5TKGx/,"{'latitude': 42.2674, 'longitude': -71.171295}","[{'price': '$2,530+', 'beds': '0'}, {'price': '$2,535+', 'beds': '1'}, {'price': '$3,270+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Parkway Apartments,True,"1555 Vfw Pkwy, West Roxbury, MA",1555 Vfw Pkwy # B-408,MA,West Roxbury,02132,d5pfkggcu9z1,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
