zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,carouselPhotos,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate,streetViewMetadataURL,streetViewURL
42.271976_rrc2*-rrc_71.06771,42.271976_rrc2*-rrc_71.06771,1039214391.0,https://photos.zillowstatic.com/fp/5e09692581285d29649f6b5aed7a84ce-p_e.jpg,True,FOR_RENT,Baker Chocolate Factory,/b/baker-chocolate-factory-boston-ma-5gHBdy/,"{'latitude': 42.271976, 'longitude': -71.06771}","[{'price': '$2,910+', 'beds': '1'}, {'price': '$3,432+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Baker Chocolate Factory,True,"1220 Adams St, Dorchester Center, MA",1220 Adams St   # 20405,MA,Dorchester Center,02124,8nbxy79q7w62,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
42.2674_rrc2*-rrc_71.171295,42.2674_rrc2*-rrc_71.171295,2562314220.0,https://photos.zillowstatic.com/fp/d7ba5d2962f287547551c58aef05edb6-p_e.jpg,True,FOR_RENT,Parkway Apartments,/b/parkway-apartments-west-roxbury-ma-C5TKGx/,"{'latitude': 42.2674, 'longitude': -71.171295}","[{'price': '$2,530+', 'beds': '0'}, {'price': '$2,535+', 'beds': '1'}, {'price': '$3,270+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Parkway Apartments,True,"1555 Vfw Pkwy, West Roxbury, MA",1555 Vfw Pkwy # A-403,MA,West Roxbury,02132,d5pfkggcu9z1,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
42.319527_rrc2*-rrc_71.03987,42.319527_rrc2*-rrc_71.03987,1001477589.0,https://photos.zillowstatic.com/fp/fc2453cd072ab1b062009ed1c9d7d211-p_e.jpg,True,FOR_RENT,Harbor Point,/b/harbor-point-boston-ma-5XjQX9/,"{'latitude': 42.319527, 'longitude': -71.03987}","[{'price': '$2,600+', 'beds': '1'}, {'price': '$3,300+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,Harbor Point,True,"24 Oyster Bay Rd, Dorchester, MA",24 Oyster Bay Rd   # 260610,MA,Dorchester,02125,52n8rjwb6dyn0,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
42.363358_rrc2*-rrc_71.13053,42.363358_rrc2*-rrc_71.13053,1141010815.0,https://photos.zillowstatic.com/fp/4e1e07a910f04b283e2bc591555d2918-p_e.jpg,True,FOR_RENT,Continuum,/b/continuum-allston-ma-63wRB2/,"{'latitude': 42.363358, 'longitude': -71.13053}","[{'price': '$2,839+', 'beds': '0'}, {'price': '$3,668+', 'beds': '1'}, {'price': '$5,191+', 'beds': '2'}, {'price': '$6,047+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Continuum,True,"219 Western Ave, Allston, MA",219 Western Ave  # S503,MA,Allston,02134,1xq3f92jq7528,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
42.342327_rrc2*-rrc_71.055595,42.342327_rrc2*-rrc_71.055595,2483039231.0,https://photos.zillowstatic.com/fp/1c4f0611add9dc750168b6d56501fdeb-p_e.jpg,True,FOR_RENT,The Residences on Broadway,/b/the-residences-on-broadway-south-boston-ma-BnjTn3/,"{'latitude': 42.342327, 'longitude': -71.055595}","[{'price': '$3,399+', 'beds': '0'}, {'price': '$3,067+', 'beds': '1'}, {'price': '$3,999+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,The Residences on Broadway,True,"50 W Broadway, Boston, MA",50 W  Broadway Apt 602,MA,Boston,02127,1274jj82vterc,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
42.36606_rrc2*-rrc_71.040245,42.36606_rrc2*-rrc_71.040245,2351986490.0,https://photos.zillowstatic.com/fp/4db3db073132be45f0bd58d07fc81b91-p_e.jpg,True,FOR_RENT,Portside at East Pier,/b/portside-at-east-pier-east-boston-ma-BKzYDJ/,"{'latitude': 42.36606, 'longitude': -71.040245}","[{'price': '$2,963+', 'beds': '0'}, {'price': '$2,797+', 'beds': '1'}, {'price': '$3,854+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Portside at East Pier,True,"40 E Pier Dr, Boston, MA",40 E  Pier Dr   # PE2-2205,MA,Boston,02128,3f7zrhfqh3ytu,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
42.34979_rrc2*-rrc_71.04442,42.34979_rrc2*-rrc_71.04442,2449473779.0,https://photos.zillowstatic.com/fp/f1f7db99608c3b768e739f40c424b08e-p_e.jpg,True,FOR_RENT,The Alyx at EchelonSeaport,/b/the-alyx-at-echelonseaport-boston-ma-BfvBzp/,"{'latitude': 42.34979, 'longitude': -71.04442}","[{'price': '$3,404+', 'beds': '0'}, {'price': '$3,322+', 'beds': '1'}, {'price': '$6,539+', 'beds': '2'}, {'price': '$7,034+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,The Alyx at EchelonSeaport,True,"131 Seaport Blvd, Boston, MA",131 Seaport Blvd Unit 1503,MA,Boston,02210,1e7ey8jz4w0v0,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
42.34091_rrc2*-rrc_71.049706,42.34091_rrc2*-rrc_71.049706,1002103936.0,https://photos.zillowstatic.com/fp/836df9adee58162df965725fc928ab0f-p_e.jpg,True,FOR_RENT,West Square Apartments,/b/west-square-apartments-boston-ma-5XqkPk/,"{'latitude': 42.34091, 'longitude': -71.049706}","[{'price': '$2,900+', 'beds': '0'}, {'price': '$3,150+', 'beds': '1'}, {'price': '$4,100+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,West Square Apartments,True,"320 D St, Boston, MA",320 D St   Unit 157,MA,Boston,02127,2d1ez3jknsdrk,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
42.28435_rrc2*-rrc_71.064995,42.28435_rrc2*-rrc_71.064995,2001487262.0,https://photos.zillowstatic.com/fp/ae1eb4ec3fc5232b8a99e4ed29f67349-p_e.jpg,True,FOR_RENT,1943 DOT Ave,/b/1943-dot-ave-boston-ma-96CMgq/,"{'latitude': 42.28435, 'longitude': -71.064995}","[{'price': '$2,195+', 'beds': '0'}, {'price': '$2,520+', 'beds': '1'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,1943 DOT Ave,True,"1943 Dorchester Ave, Boston, MA",1943 Dorchester Ave  Unit 311,MA,Boston,02124,5emwrdygzsxu6,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
42.346043_rrc2*-rrc_71.07866,42.346043_rrc2*-rrc_71.07866,1037794513.0,https://photos.zillowstatic.com/fp/3484050ecf978c4d338058b29381487a-p_e.jpg,True,FOR_RENT,Garrison Square,/b/garrison-square-boston-ma-5g37Hs/,"{'latitude': 42.346043, 'longitude': -71.07866}","[{'price': '$4,675+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Garrison Square,True,"7 Harcourt St, Boston, MA",7 Harcourt St   # 402,MA,Boston,02116,413h91knajqd,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
