zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,brokerName,carouselPhotos,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate,hasOpenHouse,openHouseDescription,openHouseEndDate,openHouseStartDate,streetViewMetadataURL,streetViewURL
40.746815_rrc2*-rrc_73.98552,40.746815_rrc2*-rrc_73.98552,157165.0,https://photos.zillowstatic.com/fp/54a57ec37e726acfc18edbeed68002f6-p_e.jpg,True,FOR_RENT,The Dylan,/b/the-dylan-new-york-ny-3LSS/,"{'latitude': 40.746815, 'longitude': -73.98552}","[{'price': '$4,302+', 'beds': '0'}, {'price': '$4,973+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,The Dylan,True,"309 5th Ave, New York, NY",309 5th Ave  Apt 28B,NY,New York,10016,3khds66e35ptz,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.588963_rrc2*-rrc_73.79774,40.588963_rrc2*-rrc_73.79774,2355011519.0,https://photos.zillowstatic.com/fp/00ca20c0f040f67e66bfc6738275e5fa-p_e.jpg,True,FOR_RENT,The Tides At Arverne By The Sea,/b/the-tides-at-arverne-by-the-sea-arverne-ny-BLWH7Z/,"{'latitude': 40.588963, 'longitude': -73.79774}","[{'price': '$2,250+', 'beds': '0'}, {'price': '$2,800+', 'beds': '1'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,The Tides At Arverne By The Sea,True,"190 Beach 69th St, Arverne, NY",190 Beach 69th St   # 94b009ec3,NY,Arverne,11692,3ww16b7ysk4v2,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.582928_rrc2*-rrc_74.086,40.582928_rrc2*-rrc_74.086,808656.0,https://photos.zillowstatic.com/fp/c5797f609b0dccce0497523203c184ab-p_e.jpg,True,FOR_RENT,Seaview Apartments,/b/seaview-apartments-staten-island-ny-8spC/,"{'latitude': 40.582928, 'longitude': -74.086}","[{'price': '$2,625+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,Seaview Apartments,True,"500 Seaview Ave, Staten Island, NY",500 Seaview Ave  # 550A,NY,Staten Island,10305,4zv1gd7m5wxq4,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.69933_rrc2*-rrc_73.80668,40.69933_rrc2*-rrc_73.80668,2565635928.0,https://photos.zillowstatic.com/fp/b71a57e7b2d6089e7b21e070a58b18d4-p_e.jpg,True,FOR_RENT,Alvista Rise,/b/alvista-rise-jamaica-ny-C64Xjv/,"{'latitude': 40.69933, 'longitude': -73.80668}","[{'price': '$2,400+', 'beds': '0'}, {'price': '$2,850+', 'beds': '1'}, {'price': '$3,093+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Alvista Rise,True,"147-25 94th Ave, Jamaica, NY",147-25 94th Ave  # 2524,NY,Jamaica,11435,vnqcny5qr65a,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.74847_rrc2*-rrc_73.93796,40.74847_rrc2*-rrc_73.93796,2179699065.0,https://photos.zillowstatic.com/fp/7ab8ec1ee70b1d2740445e4939ce1bbd-p_e.jpg,True,FOR_RENT,Jackson Park,/b/jackson-park-long-island-city-ny-9j78gP/,"{'latitude': 40.74847, 'longitude': -73.93796}","[{'price': '$3,112+', 'beds': '0'}, {'price': '$3,346+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Jackson Park,True,"28 Jackson Ave, Long Island City, NY",28 Jackson Ave  # 36B,NY,Long Island City,11101,1e74v7nrwh6bu,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.68774_rrc2*-rrc_73.978584,40.68774_rrc2*-rrc_73.978584,1150265242.0,https://photos.zillowstatic.com/fp/65d8d1ba949d63b1c6687c7eef3a565a-p_e.jpg,True,FOR_RENT,The Ashland,/b/the-ashland-brooklyn-ny-65X6Ys/,"{'latitude': 40.68774, 'longitude': -73.978584}","[{'price': '$3,795+', 'beds': '0'}, {'price': '$3,768+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}","{'type': 'INCOME_RESTRICTED', 'text': 'Income Restricted'}",The Ashland,True,"250 Ashland Pl, Brooklyn, NY",250 Ashland Pl   # 25J,NY,Brooklyn,11217,4bjnz7fss3zd6,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.6294_rrc2*-rrc_74.07401,40.6294_rrc2*-rrc_74.07401,1151147195.0,https://photos.zillowstatic.com/fp/78c1a798994661258f2dcb0e7f6cb21e-p_e.jpg,True,FOR_RENT,Staten Island Urby,/b/staten-island-urby-staten-island-ny-65gZtv/,"{'latitude': 40.6294, 'longitude': -74.07401}","[{'price': '$2,306+', 'beds': '0'}, {'price': '$2,487+', 'beds': '1'}, {'price': '$3,450+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,Staten Island Urby,True,"7 Navy Pier Ct, Staten Island, NY",7 Navy Pier Ct   # 8-2016,NY,Staten Island,10304,g22acrryz1uw,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.70381_rrc2*-rrc_73.806145,40.70381_rrc2*-rrc_73.806145,2010270546.0,https://photos.zillowstatic.com/fp/edbf053a16fa4a39a3bd581391ba0d62-p_e.jpg,True,FOR_RENT,Parkside Manor,/b/parkside-manor-jamaica-ny-97j2sW/,"{'latitude': 40.70381, 'longitude': -73.806145}","[{'price': '$1,970+', 'beds': '0'}, {'price': '$2,250+', 'beds': '1'}, {'price': '$2,900+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Parkside Manor,True,"14831 90th Ave, Jamaica, NY",14831 90th Ave  # f16310f91,NY,Jamaica,11435,4bnfxc13a3mv0,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.70073_rrc2*-rrc_73.806465,40.70073_rrc2*-rrc_73.806465,2510180978.0,https://photos.zillowstatic.com/fp/e66116306656651c94ad3c9dfbefee3b-p_e.jpg,True,FOR_RENT,Jamaica Station Crossing,/b/jamaica-station-crossing-jamaica-ny-BtRC8F/,"{'latitude': 40.70073, 'longitude': -73.806465}","[{'price': '$2,040+', 'beds': '0'}, {'price': '$2,295+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Jamaica Station Crossing,True,"147-40 Archer Ave, Jamaica, NY",147-40 Archer Ave  # 942245d62,NY,Jamaica,11435,yy5evqqv7r9f,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.858524_rrc2*-rrc_73.854546,40.858524_rrc2*-rrc_73.854546,2313826062.0,https://photos.zillowstatic.com/fp/d724f69308159be44cb322d0f5df00e1-p_e.jpg,True,FOR_RENT,Pelham Park View,/b/pelham-park-view-bronx-ny-BCNCf4/,"{'latitude': 40.858524, 'longitude': -73.854546}","[{'price': '$2,709+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Pelham Park View,True,"1135 Pelham Pkwy, Bronx, NY",1135 Pelham Pkwy # 696,NY,Bronx,10469,1phaecvg24a7p,False,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
