zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,carouselPhotos,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate,streetViewMetadataURL,streetViewURL
38.878014_rrc2*-rrc_77.00858,38.878014_rrc2*-rrc_77.00858,2200354062.0,https://photos.zillowstatic.com/fp/55f9e6cb7e9186608393830a9ce251b6-p_e.jpg,True,FOR_RENT,1000 South Capitol,/b/1000-south-capitol-washington-dc-9nghLx/,"{'latitude': 38.878014, 'longitude': -77.00858}","[{'price': '$2,428+', 'beds': '0'}, {'price': '$2,449+', 'beds': '1'}, {'price': '$3,984+', 'beds': '2'}, {'price': '$13,403+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,1000 South Capitol,True,"1000 S Capitol St SE, Washington, DC",1000 S  Capitol St   SE Penthouse 164,DC,Washington,20003,e4zx0w2fnds7,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.926086_rrc2*-rrc_77.03787,38.926086_rrc2*-rrc_77.03787,1001416525.0,https://photos.zillowstatic.com/fp/71f59cf8b8e81f1cd7ba5613f9536f93-p_e.jpg,True,FOR_RENT,Argonne,/b/argonne-washington-dc-5Xhv6x/,"{'latitude': 38.926086, 'longitude': -77.03787}","[{'price': '$1,698+', 'beds': '0'}, {'price': '$2,323+', 'beds': '1'}, {'price': '$3,198+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Argonne,True,"1629 Columbia Rd NW, Washington, DC",1629 Columbia Rd   NW Apt 212,DC,Washington,20009,2bdtfkmw1m7eb,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.92501_rrc2*-rrc_77.0371,38.92501_rrc2*-rrc_77.0371,2090317349.0,https://photos.zillowstatic.com/fp/6ac88575c1d42988b8ccb51a3be3c8a7-p_e.jpg,True,FOR_RENT,Modera Sedici,/b/modera-sedici-washington-dc-9PbPpk/,"{'latitude': 38.92501, 'longitude': -77.0371}","[{'price': '$2,792+', 'beds': '1'}, {'price': '$3,939+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Modera Sedici,True,"2700 16th St NW, Washington, DC",2700 16th St   NW # A-2705,DC,Washington,20009,316t56vpmq3h5,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.910553_rrc2*-rrc_76.99691,38.910553_rrc2*-rrc_76.99691,2090264245.0,https://photos.zillowstatic.com/fp/5b2d68628ba68b81458871d2267ec9cc-p_e.jpg,True,FOR_RENT,The MO,/b/the-mo-washington-dc-9PZxgz/,"{'latitude': 38.910553, 'longitude': -76.99691}","[{'price': '$2,204+', 'beds': '1'}, {'price': '$3,162+', 'beds': '2'}, {'price': '$5,212+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,The MO,True,"500 Penn St NE, Washington, DC",500 Penn St   NE # 609,DC,Washington,20002,3egmx428mcwyd,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.90316_rrc2*-rrc_77.00305,38.90316_rrc2*-rrc_77.00305,2184670444.0,https://photos.zillowstatic.com/fp/163c85c8596ec210a5fb723f4f92d6f8-p_e.jpg,True,FOR_RENT,Union Place,/b/union-place-washington-dc-9jyPF7/,"{'latitude': 38.90316, 'longitude': -77.00305}","[{'price': '$1,898+', 'beds': '0'}, {'price': '$2,374+', 'beds': '1'}, {'price': '$3,233+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Union Place,True,"200 K St NE, Washington, DC",200 K St   NE # 10-1049,DC,Washington,20002,4juf3rh3fu46,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.874374_rrc2*-rrc_77.0009,38.874374_rrc2*-rrc_77.0009,2183174369.0,https://photos.zillowstatic.com/fp/13f07ce42facf1f67713e1384e70e8fe-p_e.jpg,True,FOR_RENT,Arris,/b/arris-washington-dc-9jhg7y/,"{'latitude': 38.874374, 'longitude': -77.0009}","[{'price': '$1,816+', 'beds': '0'}, {'price': '$2,858+', 'beds': '1'}, {'price': '$3,786+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'INCOME_RESTRICTED', 'text': 'Income Restricted'}",Arris,True,"1331 4th St SE, Washington, DC",1331 4th St   SE Apt 823,DC,Washington,20003,1m0bk1p353jna,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.92128_rrc2*-rrc_77.0323,38.92128_rrc2*-rrc_77.0323,1001416759.0,https://photos.zillowstatic.com/fp/f10a48a9144099a82eb3a50caaf32eaf-p_e.jpg,True,FOR_RENT,Capitol View on 14th,/b/capitol-view-on-14th-washington-dc-5XhvCj/,"{'latitude': 38.92128, 'longitude': -77.0323}","[{'price': '$2,199+', 'beds': '0'}, {'price': '$2,362+', 'beds': '1'}, {'price': '$3,525+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Capitol View on 14th,True,"2420 14th St NW, Washington, DC",2420 14th St   NW Apt 314,DC,Washington,20009,1nxpz2ea7sp7u,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.906025_rrc2*-rrc_77.03018,38.906025_rrc2*-rrc_77.03018,1001416439.0,https://photos.zillowstatic.com/fp/477c64f50e608b8e8e6c6cc5f9345966-p_e.jpg,True,FOR_RENT,1301 Thomas Circle,/b/1301-thomas-circle-washington-dc-5Xhv5C/,"{'latitude': 38.906025, 'longitude': -77.03018}","[{'price': '$2,701+', 'beds': '1'}, {'price': '$3,429+', 'beds': '2'}, {'price': '$5,985+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,1301 Thomas Circle,True,"1301 M St NW, Washington, DC",1301 M St   NW Apt 129,DC,Washington,20005,10zh57cz32hx0,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
2114043939,2114043939,,https://photos.zillowstatic.com/fp/477c64f50e608b8e8e6c6cc5f9345966-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/1301-thomas-circle-washington-dc-5Xhv5C/,"{'latitude': 38.90575, 'longitude': -77.03056}",,"{'type': 'TIME_ON_INFO', 'text': '4 hours ago', 'data': {'isFresh': True}}",,,,"1301 Thomas Circle, 1301 M St NW APT 414, Washington, DC 20005",1301 M St NW APT 414,DC,Washington,20005,10zh57cz32hx0,,False,True,False,True,False,687.0,,1.0,1.0,"[{'url': 'https://photos.zillowstatic.com/fp/477c64f50e608b8e8e6c6cc5f9345966-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a7b3404b7bb511cb7df9a409a1fa7129-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/476543278845098857450e9574e45a45-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/70f5aaa8d20c5a756c6cc4207c193f86-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0bb935478056a114b5746eb22c498a92-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5c2125af940a40d03a3f5ad48bf61b43-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/da60378dac642a1e45e105c86c78918f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d62b01541c32ae752de77cdfef2eb735-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a6ba3f60fb6feac23c096dd7cf3f919d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/52825c2da042553a9ca769d6576be20a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1b98ffc1e0a5fd9f85784b6b9c4e0451-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/47a9c27885682ef20e1bf4cca0b531f5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/77f7026d294713f91d3f3ad7a9bbf561-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4e8c3b3fba34409aad3afb356efe6393-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/62754a417039d6fbef981b9fc27ce11f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/895020ac978466cfb317c847f13871d1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/36b04539242468a2203bd9dde601d973-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b235f53f7f5279ff22d5a904ba9e48c6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/dbc08407155cfec9db6cc23f6ca39060-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/377e37355e157d886aca2258c313b1fd-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7c1707750982ab9d91c05ca2c1d5bf6d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c179b0956fccebced99c9b165bf358c1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c6201a8bcc847ba775625f26332eca30-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c23c11bb995f91d623f2b68a56031cb9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6e43b4ec87c5d7f904c26720cebeac71-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/490ef7f69499c69534b6604a682da281-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e9c48165428b04832533c72e7e745dc3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9fc312a0803215ddad7192a5a7fce7ba-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/15498ac71855f7c25efb2f5720f0d561-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5307c241d90e18ec73855489df8661fb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b9153d6cf1c5bd25c5650adfa54a30b6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e9b049f873438359e4042d4337bd7b90-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/880149230f3e88e52a1af6a0ccb9b33f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9ed253772bb40221147a9c41fcc60be7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/772f839515e96e74f93136fa198d1747-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/80d4b53539c3986b27030be325ff1953-p_e.jpg'}]",$,False,False,"{'homeInfo': {'zpid': 2114043939, 'streetAddress': '1301 M St NW APT 414', 'zipcode': '20005', 'city': 'Washington', 'state': 'DC', 'latitude': 38.90575, 'longitude': -77.03056, 'price': 2796.0, 'datePriceChanged': 1674633600000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 687.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2843, 'listing_sub_type': {}, 'priceReduction': '$112 (Jan 25)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2796.0, 'priceChange': -112, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 414'}}",False,False,False,False,False,ForRent,"$2,796/mo",For Rent,False,2796.0,,,
38.902145_rrc2*-rrc_77.01648,38.902145_rrc2*-rrc_77.01648,2365259981.0,https://photos.zillowstatic.com/fp/16775bb02a88fc4fb1057b38008548d4-p_e.jpg,True,FOR_RENT,Lydian,/b/lydian-washington-dc-BNJNWs/,"{'latitude': 38.902145, 'longitude': -77.01648}","[{'price': '$2,390+', 'beds': '0'}, {'price': '$2,420+', 'beds': '1'}, {'price': '$3,595+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Lydian,True,"400 K St, Washington, DC",400 K St   # 203,DC,Washington,20001,5bpmjx03ja3c2,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
