zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,carouselPhotos,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate
41.989254_rrc2*-rrc_87.655785,41.989254_rrc2*-rrc_87.655785,,https://photos.zillowstatic.com/fp/de048598c61a46b711f0b450dd99dd35-p_e.jpg,True,FOR_RENT,5900 N Sheridan Road,"/b/5900-N-Sheridan-Road-Chicago-IL/41.989254,-87.655785_ll/","{'latitude': 41.989254, 'longitude': -87.655785}","[{'price': '$1,245+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,5900 N Sheridan Road,True,"5900 N Sheridan Rd, Chicago, IL",5900 N  Sheridan Rd   # 5cgpdw6ft,IL,Chicago,60660,2ce4r8wbg75pp,False,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,
41.902065_rrc2*-rrc_87.63331,41.902065_rrc2*-rrc_87.63331,1001148401,https://photos.zillowstatic.com/fp/5ea8f0ad0a367f9e442aa87203faab49-p_e.jpg,True,FOR_RENT,1100 North LaSalle,/b/1100-north-lasalle-chicago-il-5XfcR3/,"{'latitude': 41.902065, 'longitude': -87.63331}","[{'price': '$1,395+', 'beds': '0'}, {'price': '$1,780+', 'beds': '1'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,1100 North LaSalle,True,"1100 N La Salle Dr, Chicago, IL",1100 N  La Salle Dr   # 5585f91f3,IL,Chicago,60610,33gwpp2e12g0b,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,
2104096288,2104096288,,https://photos.zillowstatic.com/fp/da71e44f5ae3ec16b1991ffeafda36c2-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/2555-n-clark-st-chicago-il-5XdJVC/,"{'latitude': 41.929752, 'longitude': -87.642235}",,"{'type': 'TIME_ON_INFO', 'text': '85 days ago', 'data': {'isFresh': False}}",,,,"2555 N Clark St, 2555 N Clark St APT 1207, Chicago, IL 60614",2555 N Clark St APT 1207,IL,Chicago,60614,1njzbappkajvp,,False,True,False,True,False,500.0,2023-01-08 00:00:00,1.0,0.0,"[{'url': 'https://photos.zillowstatic.com/fp/da71e44f5ae3ec16b1991ffeafda36c2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/17abdebb4f8e869df6ff8b90d42c4a52-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3997d08e0522636ae338752c0255520f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c5321b8b2a7ebd0857e7795bd5606cb5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/73b4943584005e91905699576aa86584-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0d147dfed68c1155342e4961c02b854b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/891f41ea706a70f5d7472670dfdbf5a2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0a866ee547ccdc85080198b8a2e9dfd7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/08dab3fda9ca1dc76b425299904b4342-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/58a983751c45923c2ec0852c9460b5ef-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e9e3a5dbc2c3ad3386a5a168f12b2432-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/84b3e7038995baa775086c3f1026d8fe-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8064437fd3236aaefc2bc65c9806f3b2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/385be60f614636fc98831b50d1d29e0e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/728eaf5d7ab336e114cdd3ade1406a21-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f3e6c1e5368347b4b1003de9e67b5322-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cd82b00979b0ca5c3d482ff7f5bdbb6b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/77f7362143675e05111d1b7a1842adad-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3e28b1dd2919dd6a1d4650e388d05582-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b4a826b8b91844bfc07c4e85f8ddb052-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8b5a08b9e6632831eb17494b3239345e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f14f99f1b97dd358e3eb4e4ecfb73ffb-p_e.jpg'}]",$,False,False,"{'homeInfo': {'zpid': 2104096288, 'streetAddress': '2555 N Clark St APT 1207', 'zipcode': '60614', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.929752, 'longitude': -87.642235, 'price': 1784.0, 'datePriceChanged': 1673424000000, 'bathrooms': 1.0, 'bedrooms': 0.0, 'livingArea': 500.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1624, 'listing_sub_type': {}, 'priceReduction': '$43 (Jan 11)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1784.0, 'priceChange': -43, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 1207'}}",False,False,False,False,False,ForRent,"$1,784/mo",For Rent,False,1784.0,
41.86681_rrc2*-rrc_87.62358,41.86681_rrc2*-rrc_87.62358,2103778973,https://photos.zillowstatic.com/fp/1d8464ba3fa797737ffff6028f64e414-p_e.jpg,True,FOR_RENT,NEMA Chicago,/b/nema-chicago-chicago-il-9RwqTm/,"{'latitude': 41.86681, 'longitude': -87.62358}","[{'price': '$2,001+', 'beds': '0'}, {'price': '$2,475+', 'beds': '1'}, {'price': '$3,728+', 'beds': '2'}, {'price': '$6,383+', 'beds': '3'}, {'price': '$11,900+', 'beds': '4'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,NEMA Chicago,True,"1210 S Indiana Ave, Chicago, IL",1210 S  Indiana Ave  # 316,IL,Chicago,60605,3x81t30wkps0r,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,
41.889503_rrc2*-rrc_87.61833,41.889503_rrc2*-rrc_87.61833,1144652656,https://photos.zillowstatic.com/fp/6046e6bb03cd8d750e4498e6459177da-p_e.jpg,True,FOR_RENT,North Water Apartments,/b/north-water-apartments-chicago-il-64YNyJ/,"{'latitude': 41.889503, 'longitude': -87.61833}","[{'price': '$2,174+', 'beds': '0'}, {'price': '$2,719+', 'beds': '1'}, {'price': '$4,188+', 'beds': '2'}, {'price': '$7,054+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,North Water Apartments,True,"340 E North Water St, Chicago, IL",340 E  North Water St   Unit 3202,IL,Chicago,60611,121shbxxy0v02,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,
41.88608_rrc2*-rrc_87.634224,41.88608_rrc2*-rrc_87.634224,2454275845,https://photos.zillowstatic.com/fp/ccdbbc2ff29d1438d1c64b5abe353896-p_e.jpg,True,FOR_RENT,Lake and Wells,/b/lake-and-wells-chicago-il-Bgk239/,"{'latitude': 41.88608, 'longitude': -87.634224}","[{'price': '$1,905+', 'beds': '0'}, {'price': '$2,415+', 'beds': '1'}, {'price': '$4,255+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Lake and Wells,True,"210 N Wls, Chicago, IL",210 N Wls  # 1105,IL,Chicago,60601,3153d0jqzt87n,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,
41.924095_rrc2*-rrc_87.636955,41.924095_rrc2*-rrc_87.636955,1010186865,https://photos.zillowstatic.com/fp/92eb8941446949c98c80bc219f05bba3-p_e.jpg,True,FOR_RENT,The Belden Stratford,/b/the-belden-stratford-chicago-il-5ZFRtT/,"{'latitude': 41.924095, 'longitude': -87.636955}","[{'price': '$2,510+', 'beds': '0'}, {'price': '$2,610+', 'beds': '1'}, {'price': '$5,112+', 'beds': '2'}, {'price': '$7,359+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,The Belden Stratford,True,"2300 N Lincoln Park W, Chicago, IL",2300 N  Lincoln Park W  Apt 404,IL,Chicago,60614,4wu0unqh222nz,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,
2081673156,2081673156,,https://photos.zillowstatic.com/fp/0ec26ab76fc005a01526ffddbcedb926-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/731-s-plymouth-chicago-il-Crzp/,"{'latitude': 41.872547, 'longitude': -87.62837}",,"{'type': 'TIME_ON_INFO', 'text': '98 days ago', 'data': {'isFresh': False}}",,,,"731 S Plymouth, 731 S Plymouth Ct APT 513, Chicago, IL 60605",731 S Plymouth Ct APT 513,IL,Chicago,60605,52yu1x0rnxy3n,,False,True,False,True,False,1010.0,,1.0,2.0,"[{'url': 'https://photos.zillowstatic.com/fp/0ec26ab76fc005a01526ffddbcedb926-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d5c1b6886a0e09186136297fa57531a6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5a1e36a6d7ed0d55381fbcc5563f2a5d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/bd4f20d9069d5b603a836a33d015db23-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7acb973e66e0a0e1067fd952686ef4ab-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b4f8a8e8af94f71e8ab40e11cf0ac5d1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ca1fb26566790ff40f561e293daedb82-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9f1c2d37cd90474529a94719fafdee1e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cca1ba89de522f3a454b9b5a2ca71174-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/aa8bedc75cb84021b182cdbc06c9abd4-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f59200d21cd24e243f0c54452e92830f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f99f2ce6f30461cc705f08f5af5070c3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/12a4ae74958d7372bb80a9e3c97ac98c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/01e360910e188432d13b4fded5d248c2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/db96da3c396b11bd94626370f3e56f58-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/239f70ed307346a4a60cea6803ee5468-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0eee968ccc8706ce3d920e651e1287cd-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8004fffcf5b0d2538f395489c2efb72d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/98a2dc29c690af1f38f1560e50eeab22-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2490a7925bbc25d6ba2d0e75ec3d4f40-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/790de7451b305a0edf97666586fe4a86-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e8194746be307280be43001d911a5742-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2808746748f22ce18810212b135f5077-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/81169f430798a3dd3cdc7e97c6f51510-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1e597d1e47c8156ad516141413525fa5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/93078c04cf6248bf4e486b0fbbf4e5d5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/33f44cad1e6969a289bf3484a07ad75d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c55895c4c25b37795f46af5758d3a26d-p_e.jpg'}]",$,False,False,"{'homeInfo': {'zpid': 2081673156, 'streetAddress': '731 S Plymouth Ct APT 513', 'zipcode': '60605', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.872547, 'longitude': -87.62837, 'price': 2300.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 1010.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1950, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2300.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 513'}}",False,False,False,False,False,ForRent,"$2,300/mo",For Rent,False,2300.0,
41.886105_rrc2*-rrc_87.62499,41.886105_rrc2*-rrc_87.62499,1000892985,https://photos.zillowstatic.com/fp/38b83c19f6c3bef4b32cc494013136e1-p_e.jpg,True,FOR_RENT,MILA Chicago,/b/mila-chicago-chicago-il-5XcS4S/,"{'latitude': 41.886105, 'longitude': -87.62499}","[{'price': '$2,126+', 'beds': '0'}, {'price': '$2,446+', 'beds': '1'}, {'price': '$3,294+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,MILA Chicago,True,"201 N Garland Ct, Chicago, IL",201 N  Garland Ct   # 4b97bc3a3,IL,Chicago,60601,1kd1t9r8yp1sm,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,
41.92516_rrc2*-rrc_87.6474,41.92516_rrc2*-rrc_87.6474,2103984866,https://photos.zillowstatic.com/fp/e0407f5b82c2dac169e60d3ee5cbccd2-p_e.jpg,True,FOR_RENT,The Apartments at Lincoln Common,/b/the-apartments-at-lincoln-common-chicago-il-9RyZFf/,"{'latitude': 41.92516, 'longitude': -87.6474}","[{'price': '$2,190+', 'beds': '0'}, {'price': '$2,375+', 'beds': '1'}, {'price': '$4,715+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,The Apartments at Lincoln Common,True,"2345 N Lincoln Ave, Chicago, IL",2345 N  Lincoln Ave  # A1-1805,IL,Chicago,60614,2spv9xajd0z9z,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,
